accuracy,id,lat,lng,speed,time,type
18.272,140745,36.3250763,127.3734059,0.0,1667431091770,START
13.984,140746,36.3250427,127.3734695,0.5266281,1667431115425,NORMAL
8.379,140747,36.3250472,127.3734707,0.07058711,1667431117425,NORMAL
4.831,140748,36.3250416,127.3734236,2.6375668,1667431120000,NORMAL
4.102,140749,36.3250499,127.3733389,3.8475678,1667431122000,NORMAL
3.863,140750,36.3250474,127.3732354,4.304624,1667431124000,NORMAL
3.863,140751,36.3250482,127.37314,4.140547,1667431126000,NORMAL
3.863,140752,36.3250496,127.3730777,1.6142411,1667431128000,NORMAL
3.863,140753,36.3250434,127.3730506,1.2003227,1667431130000,NORMAL
3.9,140754,36.3250357,127.3730244,1.339683,1667431132000,NORMAL
3.863,140755,36.3250293,127.3730081,0.32116905,1667431134000,NORMAL
3.826,140756,36.3250251,127.3730149,0.251875,1667431136000,NORMAL
3.826,140757,36.3250263,127.3730197,0.15282655,1667431138000,NORMAL
3.863,140758,36.3250257,127.373007,0.68666327,1667431140000,NORMAL
3.9,140759,36.3250153,127.3729716,1.7386463,1667431142000,NORMAL
3.9,140760,36.3250125,127.372912,4.3837805,1667431144000,NORMAL
3.9,140761,36.3250205,127.3728392,4.657689,1667431146000,NORMAL
3.9,140762,36.3250349,127.3726894,6.035665,1667431148000,NORMAL
3.881,140763,36.3250441,127.3726312,3.4477363,1667431149000,NORMAL
3.856,140764,36.3250609,127.3724995,5.3677773,1667431151425,NORMAL
3.863,140765,36.3250648,127.3723878,7.1958637,1667431153000,NORMAL
3.9,140766,36.3250521,127.3722247,7.85955,1667431155000,NORMAL
3.9,140767,36.3250511,127.3720339,8.639575,1667431157000,NORMAL
3.9,140768,36.3250604,127.3718446,7.880885,1667431159000,NORMAL
3.9,140769,36.3250724,127.3716777,7.919829,1667431161000,NORMAL
3.863,140770,36.3250837,127.3714942,8.987869,1667431163000,NORMAL
3.863,140771,36.3250961,127.3713099,7.431607,1667431165000,NORMAL
3.863,140772,36.3251055,127.371165,5.581153,1667431167000,NORMAL
3.9,140773,36.3251024,127.3710384,5.3901496,1667431169000,NORMAL
3.9,140774,36.3251003,127.3709192,5.42986,1667431171000,NORMAL
3.9,140775,36.3251213,127.3708081,4.2430563,1667431173000,NORMAL
3.9,140776,36.325128,127.3706984,4.7944183,1667431175000,NORMAL
3.9,140777,36.3251286,127.3706028,3.9524813,1667431177000,NORMAL
3.9,140778,36.3251419,127.3705221,2.3397937,1667431179000,NORMAL
3.9,140779,36.3251455,127.370474,2.131211,1667431181000,NORMAL
3.863,140780,36.3251361,127.3704249,1.4222783,1667431183000,NORMAL
3.863,140781,36.3251227,127.3704167,1.3604637,1667431185000,NORMAL
3.863,140782,36.3251135,127.3704276,0.49883857,1667431187000,NORMAL
3.9,140783,36.3251108,127.3704228,0.6038788,1667431189000,NORMAL
3.9,140784,36.325109,127.3704135,0.2367426,1667431191000,NORMAL
3.9,140785,36.3251031,127.370416,0.21147725,1667431193000,NORMAL
3.9,140786,36.3250977,127.3704232,0.3330068,1667431195000,NORMAL
3.9,140787,36.3250952,127.3704272,0.24557249,1667431197000,NORMAL
3.9,140788,36.3250884,127.3704226,0.3632511,1667431199000,NORMAL
3.9,140789,36.3250821,127.3704218,0.34998125,1667431201000,NORMAL
3.863,140790,36.3250819,127.3704211,0.08168464,1667431203000,NORMAL
3.863,140791,36.3250808,127.3704259,0.17906271,1667431205000,NORMAL
3.863,140792,36.3250801,127.3704236,0.36546785,1667431207000,NORMAL
3.9,140793,36.3250761,127.3704122,0.6464163,1667431209000,NORMAL
3.9,140794,36.3250632,127.3703665,4.141823,1667431211000,NORMAL
5.911,140795,36.3249845,127.3703087,9.432854,1667431213000,NORMAL
7.923,140796,36.3247825,127.3703124,11.488736,1667431215000,NORMAL
9.935,140797,36.3245573,127.3702955,12.759529,1667431217000,NORMAL
9.935,140798,36.324326,127.3702656,11.780207,1667431219000,NORMAL
9.935,140799,36.3241239,127.3702442,9.720578,1667431221000,NORMAL
9.935,140800,36.3239634,127.37023,7.282079,1667431223000,NORMAL
9.935,140801,36.3238549,127.3702227,3.9446812,1667431225000,NORMAL
9.935,140802,36.323802,127.3702185,2.0320246,1667431227000,NORMAL
9.935,140803,36.3237833,127.3702161,0.7213024,1667431229000,NORMAL
9.935,140804,36.3237874,127.3702158,0.6779274,1667431231000,NORMAL
9.935,140805,36.3237971,127.3702175,0.23786494,1667431233000,NORMAL
9.935,140806,36.3238019,127.3702183,0.15270025,1667431235000,NORMAL
9.935,140807,36.3238022,127.370218,0.048698634,1667431237000,NORMAL
11.227,140808,36.3238024,127.3702175,0.030169772,1667431239000,NORMAL
11.227,140809,36.3238027,127.3702175,0.020028012,1667431241000,NORMAL
9.935,140810,36.3238027,127.3702175,0.002790538,1667431243000,NORMAL
9.935,140811,36.323803,127.3702176,0.01278119,1667431245000,NORMAL
