accuracy,id,lat,lng,speed,time,type
24.3,0,36.338285,127.408795,4.92,1667454686000,START
24.3,0,36.338196,127.408731,1.90,1667454691000,NORMAL
24.3,0,36.338373,127.408457,7.07,1667454697000,NORMAL
24.3,0,36.338599,127.408171,6.66,1667454702000,NORMAL
24.3,0,36.338885,127.407789,7.76,1667454708000,NORMAL
24.3,0,36.339107,127.407495,7.47,1667454713000,NORMAL
24.3,0,36.339379,127.407164,8.88,1667454718000,NORMAL
24.3,0,36.339709,127.406761,7.60,1667454724000,NORMAL
24.3,0,36.339878,127.406558,2.73,1667454729000,NORMAL
24.3,0,36.340014,127.406481,3.86,1667454735000,NORMAL
24.3,0,36.340124,127.406813,7.30,1667454740000,NORMAL
24.3,0,36.340280,127.407334,6.45,1667454746000,NORMAL
24.3,0,36.340323,127.407615,5.20,1667454751000,NORMAL
24.3,0,36.340317,127.407998,6.22,1667454756000,NORMAL
24.3,0,36.340342,127.408200,4.68,1667454761000,NORMAL
24.3,0,36.340386,127.408465,4.29,1667454767000,NORMAL
24.3,0,36.340162,127.408589,7.19,1667454773000,NORMAL
24.3,0,36.339672,127.408644,9.51,1667454779000,NORMAL
24.3,0,36.339136,127.408706,10.10,1667454785000,NORMAL
24.3,0,36.338624,127.408768,8.81,1667454791000,NORMAL
24.3,0,36.338298,127.408794,6.18,1667454796000,NORMAL
24.3,0,36.338122,127.408747,2.87,1667454802000,NORMAL
24.3,0,36.338000,127.408881,3.15,1667454808000,NORMAL
24.3,0,36.337943,127.408945,0.00,1667454813000,STOP
24.3,0,36.338249,127.409403,3.81,1667454846000,NORMAL
24.3,0,36.338356,127.409544,3.95,1667454851000,NORMAL
24.3,0,36.338529,127.409757,5.62,1667454856000,NORMAL
24.3,0,36.338774,127.410060,6.69,1667454862000,NORMAL
24.3,0,36.339068,127.410411,8.39,1667454868000,NORMAL
24.3,0,36.339332,127.410729,7.72,1667454873000,NORMAL
24.3,0,36.339568,127.411057,5.17,1667454879000,NORMAL
24.3,0,36.339724,127.411257,4.33,1667454885000,NORMAL
24.3,0,36.339904,127.411485,4.23,1667454891000,NORMAL
24.3,0,36.339945,127.411537,0.00,1667454896000,STOP
24.3,0,36.339981,127.411564,3.07,1667454973000,NORMAL
24.3,0,36.340167,127.411790,5.53,1667454979000,NORMAL
24.3,0,36.340365,127.412030,4.59,1667454985000,NORMAL
24.3,0,36.340460,127.412127,3.41,1667454990000,NORMAL
24.3,0,36.340640,127.412347,6.01,1667454995000,NORMAL
24.3,0,36.340854,127.412621,6.19,1667455000000,NORMAL
24.3,0,36.340961,127.412747,4.10,1667455006000,NORMAL
24.3,0,36.341283,127.412573,8.48,1667455011000,NORMAL
24.3,0,36.341677,127.412417,10.01,1667455016000,NORMAL
24.3,0,36.342112,127.412248,9.30,1667455021000,NORMAL
24.3,0,36.342525,127.412075,7.23,1667455027000,NORMAL
24.3,0,36.342899,127.411933,7.29,1667455033000,NORMAL
24.3,0,36.343256,127.411810,6.70,1667455038000,NORMAL
24.3,0,36.343724,127.411675,9.24,1667455044000,NORMAL
24.3,0,36.344137,127.411568,9.55,1667455049000,NORMAL
24.3,0,36.344521,127.411462,6.64,1667455055000,NORMAL
24.3,0,36.344732,127.411393,3.20,1667455060000,NORMAL
24.3,0,36.344747,127.411389,0.00,1667455066000,STOP
24.3,0,36.344889,127.411348,5.32,1667455077000,NORMAL
24.3,0,36.345194,127.411255,6.52,1667455082000,NORMAL
24.3,0,36.345555,127.411067,9.47,1667455087000,NORMAL
24.3,0,36.346024,127.410644,11.06,1667455093000,NORMAL
24.3,0,36.346420,127.410198,12.79,1667455098000,NORMAL
24.3,0,36.347003,127.409552,15.67,1667455104000,NORMAL
24.3,0,36.347653,127.408731,17.18,1667455110000,NORMAL
24.2,0,36.347946,127.407652,16.99,1667455116000,NORMAL
24.7,0,36.348113,127.406877,14.90,1667455121000,NORMAL
24.3,0,36.348309,127.406181,13.17,1667455126000,NORMAL
24.3,0,36.348589,127.405295,14.16,1667455132000,NORMAL
24.3,0,36.348750,127.404673,9.74,1667455137000,NORMAL
24.3,0,36.348846,127.404313,2.41,1667455143000,NORMAL
24.3,0,36.348847,127.404303,0.00,1667455148000,STOP
24.3,0,36.348927,127.403992,2.53,1667455164000,NORMAL
24.3,0,36.348936,127.403868,0.00,1667455169000,STOP
24.3,0,36.348951,127.403581,5.17,1667455180000,NORMAL
24.3,0,36.348965,127.403275,5.91,1667455185000,NORMAL
24.3,0,36.348989,127.402800,7.45,1667455191000,NORMAL
24.3,0,36.349008,127.402405,5.97,1667455196000,NORMAL
24.3,0,36.349015,127.402252,1.68,1667455201000,NORMAL
24.3,0,36.349069,127.401992,4.60,1667455207000,NORMAL
24.3,0,36.349474,127.401870,9.86,1667455213000,NORMAL
24.3,0,36.349986,127.401802,9.06,1667455219000,NORMAL
24.3,0,36.350469,127.401773,8.28,1667455225000,NORMAL
24.3,0,36.350857,127.401751,5.88,1667455231000,NORMAL
24.3,0,36.351168,127.401748,8.68,1667455237000,NORMAL
24.3,0,36.351814,127.401771,13.81,1667455243000,NORMAL
24.3,0,36.352645,127.401814,15.79,1667455249000,NORMAL
24.3,0,36.353465,127.401954,14.79,1667455255000,NORMAL
24.3,0,36.354106,127.402091,14.26,1667455260000,NORMAL
24.3,0,36.354768,127.402215,15.30,1667455265000,NORMAL
24.3,0,36.355591,127.402126,15.53,1667455271000,NORMAL
24.3,0,36.356277,127.401887,16.24,1667455276000,NORMAL
24.3,0,36.357011,127.401480,16.42,1667455281000,NORMAL
24.3,0,36.357387,127.401614,7.68,1667455287000,NORMAL
24.3,0,36.357350,127.402212,12.30,1667455292000,NORMAL
24.3,0,36.357194,127.402865,11.30,1667455297000,NORMAL
24.3,0,36.357079,127.403389,9.30,1667455302000,NORMAL
24.3,0,36.356941,127.404015,10.23,1667455308000,NORMAL
24.3,0,36.356824,127.404547,8.89,1667455313000,NORMAL
24.3,0,36.356745,127.404907,3.57,1667455319000,NORMAL
