accuracy,id,lat,lng,speed,time,type
11.1,0,36.409924,127.394801,13.52,1667553765000,START
8.6,0,36.410213,127.394327,10.71,1667553770000,NORMAL
8.2,0,36.410436,127.393978,6.73,1667553776000,NORMAL
8.1,0,36.410811,127.394234,9.29,1667553781000,NORMAL
14.1,0,36.411081,127.394510,5.50,1667553787000,NORMAL
8.2,0,36.411469,127.394110,10.17,1667553793000,NORMAL
8.2,0,36.411874,127.393472,14.14,1667553798000,NORMAL
8.2,0,36.412100,127.392654,14.80,1667553804000,NORMAL
8.1,0,36.412247,127.391948,11.49,1667553809000,NORMAL
8.1,0,36.412444,127.391440,6.90,1667553815000,NORMAL
8.2,0,36.412886,127.391806,8.89,1667553821000,NORMAL
8.2,0,36.413208,127.392038,7.30,1667553826000,NORMAL
8.2,0,36.413412,127.392173,3.03,1667553832000,NORMAL
8.2,0,36.413515,127.392244,1.21,1667553838000,NORMAL
8.1,0,36.413516,127.392251,0.00,1667553843000,STOP
8.2,0,36.413551,127.392277,2.02,1667553855000,NORMAL
8.2,0,36.413688,127.392379,2.81,1667553861000,NORMAL
8.2,0,36.413813,127.392489,2.68,1667553867000,NORMAL
8.2,0,36.413873,127.392528,0.00,1667553872000,STOP
8.2,0,36.414032,127.392646,3.85,1667553883000,NORMAL
8.2,0,36.414186,127.392758,3.93,1667553888000,NORMAL
8.1,0,36.414291,127.392843,1.01,1667553894000,NORMAL
8.1,0,36.414286,127.392840,0.00,1667553900000,STOP
8.1,0,36.414342,127.392899,3.65,1667553987000,NORMAL
8.1,0,36.414558,127.393061,4.89,1667553993000,NORMAL
8.1,0,36.414752,127.393204,5.13,1667553998000,NORMAL
8.1,0,36.414967,127.393362,3.39,1667554004000,NORMAL
8.1,0,36.415077,127.393451,2.47,1667554010000,NORMAL
8.2,0,36.415185,127.393528,2.90,1667554015000,NORMAL
8.2,0,36.415315,127.393618,3.52,1667554020000,NORMAL
8.2,0,36.415442,127.393712,1.80,1667554026000,NORMAL
8.2,0,36.415460,127.393728,0.00,1667554032000,STOP
8.1,0,36.415624,127.393859,4.80,1667554119000,NORMAL
8.1,0,36.415808,127.394000,4.91,1667554124000,NORMAL
8.1,0,36.416008,127.394155,4.91,1667554129000,NORMAL
8.1,0,36.416155,127.394265,2.05,1667554135000,NORMAL
8.1,0,36.416178,127.394284,0.00,1667554141000,STOP
8.1,0,36.416279,127.394371,4.40,1667554247000,NORMAL
8.1,0,36.416598,127.394600,7.84,1667554253000,NORMAL
8.1,0,36.417001,127.394888,11.83,1667554258000,NORMAL
8.1,0,36.417632,127.395340,14.35,1667554264000,NORMAL
8.1,0,36.418281,127.395800,13.10,1667554270000,NORMAL
8.1,0,36.418839,127.396208,11.26,1667554276000,NORMAL
8.1,0,36.419213,127.396478,8.28,1667554281000,NORMAL
8.1,0,36.419578,127.396743,7.57,1667554287000,NORMAL
8.1,0,36.419911,127.396982,6.75,1667554293000,NORMAL
8.1,0,36.420161,127.397163,6.20,1667554298000,NORMAL
8.1,0,36.420448,127.397370,6.72,1667554304000,NORMAL
8.1,0,36.420785,127.397615,7.40,1667554310000,NORMAL
8.1,0,36.421123,127.397860,9.78,1667554315000,NORMAL
8.1,0,36.421538,127.398161,10.69,1667554320000,NORMAL
8.1,0,36.421787,127.398544,7.34,1667554326000,NORMAL
8.1,0,36.421793,127.399110,11.49,1667554331000,NORMAL
8.1,0,36.421970,127.399751,9.71,1667554337000,NORMAL
8.1,0,36.422210,127.400127,7.24,1667554342000,NORMAL
8.1,0,36.422342,127.400261,2.28,1667554347000,NORMAL
8.1,0,36.422361,127.400278,0.00,1667554353000,STOP
8.1,0,36.422586,127.400449,7.41,1667554359000,NORMAL
8.1,0,36.423010,127.400616,11.33,1667554364000,NORMAL
8.1,0,36.423712,127.400522,14.35,1667554370000,NORMAL
8.1,0,36.424239,127.400075,13.66,1667554375000,NORMAL
8.1,0,36.424566,127.399455,13.03,1667554380000,NORMAL
8.1,0,36.424907,127.398672,13.81,1667554386000,NORMAL
8.1,0,36.425215,127.397941,14.49,1667554391000,NORMAL
8.1,0,36.425521,127.397242,13.82,1667554396000,NORMAL
8.1,0,36.425824,127.396529,8.22,1667554402000,NORMAL
8.1,0,36.426140,127.396721,8.28,1667554407000,NORMAL
8.1,0,36.426361,127.396908,3.85,1667554412000,NORMAL
8.1,0,36.426623,127.397138,8.94,1667554418000,NORMAL
8.1,0,36.427118,127.397580,12.17,1667554424000,NORMAL
8.1,0,36.427571,127.397984,12.34,1667554429000,NORMAL
8.1,0,36.427986,127.398355,5.54,1667554435000,NORMAL
8.1,0,36.428095,127.398452,1.83,1667554440000,NORMAL
8.1,0,36.428137,127.398490,0.00,1667554446000,STOP
8.1,0,36.428289,127.398444,5.83,1667554452000,NORMAL
8.1,0,36.428678,127.397938,13.67,1667554458000,NORMAL
8.1,0,36.429241,127.397251,19.98,1667554463000,NORMAL
8.1,0,36.430098,127.396195,23.30,1667554469000,NORMAL
8.1,0,36.430916,127.395164,19.25,1667554475000,NORMAL
8.1,0,36.431471,127.394435,11.11,1667554481000,NORMAL
8.1,0,36.431651,127.394211,3.23,1667554487000,NORMAL
8.1,0,36.431715,127.394136,0.00,1667554492000,STOP
8.1,0,36.431863,127.393968,6.32,1667554571000,NORMAL
8.1,0,36.432120,127.393494,8.97,1667554577000,NORMAL
8.1,0,36.432311,127.393033,9.53,1667554582000,NORMAL
8.1,0,36.432523,127.392539,10.13,1667554587000,NORMAL
8.1,0,36.432751,127.392039,7.44,1667554593000,NORMAL
8.1,0,36.432971,127.391493,10.24,1667554599000,NORMAL
8.1,0,36.433189,127.390973,9.50,1667554604000,NORMAL
8.1,0,36.433398,127.390474,7.34,1667554610000,NORMAL
8.1,0,36.433443,127.390370,0.00,1667554615000,STOP
8.1,0,36.433506,127.390196,3.91,1667554637000,NORMAL
8.1,0,36.433639,127.389877,5.77,1667554643000,NORMAL
8.1,0,36.433770,127.389572,4.52,1667554649000,NORMAL
8.1,0,36.433793,127.389511,0.00,1667554654000,STOP
8.1,0,36.433929,127.389157,7.83,1667554796000,NORMAL
8.1,0,36.434141,127.388693,7.51,1667554802000,NORMAL
8.1,0,36.434307,127.388487,3.39,1667554808000,NORMAL
8.1,0,36.434367,127.388431,0.00,1667554813000,STOP
8.1,0,36.434462,127.388314,1.69,1667554859000,NORMAL
8.1,0,36.434534,127.388243,2.34,1667554864000,NORMAL
8.1,0,36.434598,127.388181,0.00,1667554870000,STOP
8.1,0,36.434663,127.388132,2.94,1667554891000,NORMAL
8.1,0,36.434785,127.388006,3.97,1667554896000,NORMAL
8.1,0,36.435018,127.387759,6.22,1667554902000,NORMAL
8.1,0,36.435184,127.387588,2.65,1667554907000,NORMAL
8.1,0,36.435185,127.387586,0.00,1667554913000,STOP
8.1,0,36.435262,127.387498,4.10,1667554957000,NORMAL
8.1,0,36.435553,127.387215,9.96,1667554962000,NORMAL
8.1,0,36.435890,127.386952,5.16,1667554968000,NORMAL
8.1,0,36.436105,127.387234,8.34,1667554973000,NORMAL
8.1,0,36.436425,127.387687,12.06,1667554978000,NORMAL
8.1,0,36.436848,127.388313,12.35,1667554984000,NORMAL
8.1,0,36.437206,127.388828,7.25,1667554990000,NORMAL
8.1,0,36.437338,127.389024,2.37,1667554996000,NORMAL
8.1,0,36.437391,127.389105,0.00,1667555002000,STOP
8.1,0,36.437407,127.389144,2.03,1667555014000,NORMAL
8.1,0,36.437552,127.389289,7.01,1667555019000,NORMAL
8.1,0,36.437954,127.388664,11.51,1667555025000,NORMAL
8.1,0,36.438290,127.388265,8.63,1667555030000,NORMAL
8.1,0,36.438529,127.388061,3.47,1667555036000,NORMAL
8.1,0,36.438625,127.387980,1.72,1667555041000,NORMAL
8.1,0,36.438640,127.387965,0.00,1667555046000,STOP
8.1,0,36.438715,127.387901,3.49,1667555052000,NORMAL
8.1,0,36.439016,127.387654,8.31,1667555058000,NORMAL
8.1,0,36.439342,127.387389,8.41,1667555063000,NORMAL
8.1,0,36.439665,127.387124,5.27,1667555069000,NORMAL
8.1,0,36.439895,127.386924,6.82,1667555075000,NORMAL
8.1,0,36.440339,127.386556,11.25,1667555081000,NORMAL
8.1,0,36.440770,127.386231,10.83,1667555086000,NORMAL
8.1,0,36.441163,127.385911,7.37,1667555092000,NORMAL
8.1,0,36.441471,127.386081,9.61,1667555097000,NORMAL
8.1,0,36.441791,127.386531,11.47,1667555102000,NORMAL
8.1,0,36.442311,127.386504,11.08,1667555107000,NORMAL
8.1,0,36.442884,127.386349,11.03,1667555113000,NORMAL
8.1,0,36.443498,127.386142,12.41,1667555119000,NORMAL
8.1,0,36.443983,127.385783,13.16,1667555124000,NORMAL
8.1,0,36.444266,127.384984,13.13,1667555130000,NORMAL
8.1,0,36.444225,127.384217,13.92,1667555135000,NORMAL
8.1,0,36.444149,127.383374,11.27,1667555141000,NORMAL
8.1,0,36.444088,127.382636,10.86,1667555147000,NORMAL
8.1,0,36.444048,127.382121,7.89,1667555152000,NORMAL
8.1,0,36.444062,127.381686,7.07,1667555158000,NORMAL
