accuracy,id,lat,lng,speed,time,type
29.0,0,36.496188,127.329184,11.58,1667553390000,START
29.0,0,36.495714,127.328737,11.99,1667553396000,NORMAL
29.0,0,36.495262,127.328175,11.52,1667553402000,NORMAL
29.0,0,36.494933,127.327562,10.70,1667553408000,NORMAL
29.0,0,36.494663,127.326929,10.75,1667553414000,NORMAL
29.0,0,36.494486,127.326258,9.93,1667553420000,NORMAL
29.0,0,36.494495,127.325877,4.37,1667553425000,NORMAL
29.0,0,36.494545,127.325758,1.18,1667553430000,NORMAL
29.0,0,36.494592,127.325590,5.56,1667553435000,NORMAL
29.0,0,36.494473,127.325350,6.33,1667553440000,NORMAL
29.0,0,36.494190,127.325418,5.97,1667553445000,NORMAL
29.0,0,36.493840,127.325390,7.92,1667553451000,NORMAL
29.0,0,36.493388,127.325334,7.51,1667553457000,NORMAL
29.0,0,36.493046,127.325263,5.56,1667553463000,NORMAL
29.0,0,36.492913,127.325211,1.59,1667553468000,NORMAL
29.0,0,36.492734,127.325079,6.74,1667553473000,NORMAL
29.0,0,36.492289,127.325071,9.52,1667553479000,NORMAL
29.0,0,36.491684,127.324912,13.48,1667553485000,NORMAL
29.0,0,36.491027,127.324674,14.25,1667553490000,NORMAL
29.0,0,36.490377,127.324376,11.52,1667553496000,NORMAL
29.0,0,36.489969,127.324166,6.74,1667553502000,NORMAL
29.0,0,36.489715,127.323937,7.56,1667553507000,NORMAL
29.0,0,36.489351,127.323809,9.16,1667553512000,NORMAL
29.0,0,36.488929,127.323521,10.75,1667553517000,NORMAL
29.0,0,36.488471,127.323210,8.75,1667553523000,NORMAL
29.0,0,36.488221,127.322913,7.56,1667553528000,NORMAL
29.0,0,36.487789,127.322720,9.52,1667553534000,NORMAL
29.0,0,36.487285,127.322313,11.94,1667553540000,NORMAL
29.0,0,36.486773,127.321828,12.35,1667553546000,NORMAL
29.0,0,36.486347,127.321386,11.94,1667553551000,NORMAL
29.0,0,36.485956,127.320944,7.56,1667553557000,NORMAL
29.0,0,36.485761,127.320708,5.56,1667553562000,NORMAL
29.0,0,36.485599,127.320403,6.38,1667553568000,NORMAL
29.0,0,36.485373,127.320296,5.97,1667553574000,NORMAL
29.0,0,36.485229,127.320617,6.74,1667553579000,NORMAL
29.0,0,36.485031,127.320867,7.15,1667553584000,NORMAL
29.0,0,36.484811,127.321128,6.33,1667553589000,NORMAL
29.0,0,36.484557,127.321413,7.97,1667553595000,NORMAL
29.0,0,36.484225,127.321805,11.11,1667553600000,NORMAL
29.0,0,36.483834,127.322261,12.71,1667553605000,NORMAL
29.0,0,36.483320,127.322860,13.53,1667553611000,NORMAL
29.0,0,36.482853,127.323362,13.48,1667553616000,NORMAL
29.0,0,36.482319,127.323880,11.16,1667553622000,NORMAL
29.0,0,36.481863,127.324080,7.97,1667553628000,NORMAL
29.0,0,36.481612,127.324152,3.60,1667553633000,NORMAL
29.0,0,36.481403,127.324212,4.37,1667553639000,NORMAL
29.0,0,36.481363,127.324514,7.20,1667553644000,NORMAL
29.0,0,36.481513,127.325127,9.93,1667553650000,NORMAL
29.0,0,36.481589,127.325624,9.16,1667553655000,NORMAL
29.0,0,36.481518,127.326160,6.79,1667553661000,NORMAL
29.0,0,36.481332,127.326377,7.97,1667553666000,NORMAL
29.0,0,36.480782,127.326553,11.16,1667553672000,NORMAL
29.0,0,36.480401,127.326888,9.16,1667553677000,NORMAL
29.0,0,36.480172,127.327186,6.38,1667553682000,NORMAL
29.0,0,36.480001,127.327515,5.14,1667553688000,NORMAL
29.0,0,36.479930,127.327955,9.11,1667553694000,NORMAL
29.0,0,36.479978,127.328461,8.75,1667553699000,NORMAL
29.0,0,36.480034,127.328935,6.79,1667553705000,NORMAL
29.0,0,36.480107,127.329491,9.16,1667553711000,NORMAL
29.0,0,36.480196,127.330075,8.33,1667553717000,NORMAL
29.0,0,36.480286,127.330568,6.79,1667553723000,NORMAL
29.0,0,36.480345,127.330888,4.78,1667553728000,NORMAL
29.0,0,36.480223,127.331065,5.56,1667553734000,NORMAL
29.0,0,36.479786,127.331261,10.70,1667553740000,NORMAL
29.0,0,36.479338,127.331777,11.94,1667553746000,NORMAL
29.0,0,36.478979,127.332255,11.52,1667553751000,NORMAL
29.0,0,36.478545,127.332648,11.58,1667553756000,NORMAL
29.0,0,36.477991,127.333018,12.30,1667553762000,NORMAL
29.0,0,36.477493,127.333312,12.30,1667553767000,NORMAL
29.0,0,36.476866,127.333653,12.35,1667553773000,NORMAL
29.0,0,36.476260,127.333869,11.11,1667553779000,NORMAL
29.0,0,36.475805,127.333875,9.57,1667553784000,NORMAL
29.0,0,36.475282,127.333889,9.93,1667553790000,NORMAL
29.0,0,36.474823,127.333852,7.92,1667553796000,NORMAL
29.0,0,36.474527,127.333944,6.33,1667553801000,NORMAL
29.0,0,36.474175,127.333936,6.38,1667553807000,NORMAL
29.0,0,36.474073,127.334176,7.15,1667553812000,NORMAL
29.0,0,36.474150,127.334814,11.94,1667553818000,NORMAL
29.0,0,36.474152,127.335546,13.89,1667553823000,NORMAL
29.0,0,36.474144,127.336482,13.48,1667553829000,NORMAL
29.0,0,36.474097,127.337331,13.12,1667553835000,NORMAL
29.0,0,36.474057,127.338212,17.90,1667553840000,NORMAL
29.0,0,36.473980,127.339269,19.03,1667553845000,NORMAL
29.0,0,36.473879,127.340539,17.90,1667553851000,NORMAL
29.0,0,36.473796,127.341679,17.95,1667553857000,NORMAL
29.0,0,36.473716,127.342681,18.37,1667553862000,NORMAL
29.0,0,36.473583,127.343934,19.39,1667553868000,NORMAL
29.0,0,36.473407,127.345225,19.45,1667553874000,NORMAL
29.0,0,36.473190,127.346514,19.86,1667553880000,NORMAL
29.0,0,36.472939,127.347762,18.67,1667553886000,NORMAL
29.0,0,36.472656,127.348961,18.67,1667553892000,NORMAL
29.0,0,36.472360,127.350091,17.44,1667553898000,NORMAL
29.0,0,36.472036,127.351199,17.49,1667553904000,NORMAL
29.0,0,36.471666,127.352339,18.67,1667553910000,NORMAL
29.0,0,36.471324,127.353291,18.67,1667553915000,NORMAL
29.0,0,36.470889,127.354419,19.09,1667553921000,NORMAL
29.0,0,36.470500,127.355343,18.73,1667553926000,NORMAL
29.0,0,36.470007,127.356428,18.26,1667553932000,NORMAL
29.0,0,36.469604,127.357297,17.85,1667553937000,NORMAL
29.0,0,36.469191,127.358183,18.62,1667553942000,NORMAL
29.0,0,36.468713,127.359248,17.44,1667553948000,NORMAL
29.0,0,36.468373,127.360111,17.49,1667553953000,NORMAL
29.0,0,36.468012,127.361163,16.26,1667553959000,NORMAL
29.0,0,36.467725,127.362127,14.66,1667553965000,NORMAL
29.0,0,36.467501,127.362898,14.66,1667553970000,NORMAL
29.0,0,36.467264,127.363662,14.66,1667553975000,NORMAL
29.0,0,36.466930,127.364598,15.48,1667553981000,NORMAL
29.0,0,36.466514,127.365565,16.72,1667553987000,NORMAL
29.0,0,36.466113,127.366320,15.84,1667553992000,NORMAL
29.0,0,36.465627,127.367097,14.30,1667553998000,NORMAL
29.0,0,36.465233,127.367682,13.48,1667554003000,NORMAL
29.0,0,36.464697,127.368339,14.25,1667554009000,NORMAL
29.0,0,36.464090,127.368868,13.84,1667554015000,NORMAL
29.0,0,36.463447,127.369354,13.48,1667554021000,NORMAL
29.0,0,36.462796,127.369740,13.48,1667554027000,NORMAL
29.0,0,36.462128,127.370038,13.07,1667554033000,NORMAL
29.0,0,36.461457,127.370249,13.48,1667554039000,NORMAL
29.0,0,36.460727,127.370382,13.84,1667554045000,NORMAL
29.0,0,36.460093,127.370418,13.89,1667554050000,NORMAL
29.0,0,36.459490,127.370391,13.48,1667554055000,NORMAL
29.0,0,36.458903,127.370322,12.66,1667554060000,NORMAL
29.0,0,36.458264,127.370224,12.30,1667554066000,NORMAL
29.0,0,36.457564,127.370092,13.48,1667554072000,NORMAL
29.0,0,36.456802,127.369998,14.25,1667554078000,NORMAL
29.0,0,36.456178,127.369900,14.20,1667554083000,NORMAL
29.0,0,36.455384,127.369775,14.71,1667554089000,NORMAL
29.0,0,36.454585,127.369653,14.66,1667554095000,NORMAL
29.0,0,36.453751,127.369548,15.90,1667554101000,NORMAL
29.0,0,36.453025,127.369507,16.67,1667554106000,NORMAL
29.0,0,36.452103,127.369549,17.44,1667554112000,NORMAL
29.0,0,36.451138,127.369726,18.26,1667554118000,NORMAL
29.0,0,36.450350,127.369969,17.85,1667554123000,NORMAL
29.0,0,36.449579,127.370289,17.85,1667554128000,NORMAL
29.0,0,36.448662,127.370810,19.09,1667554134000,NORMAL
29.0,0,36.447771,127.371475,19.45,1667554140000,NORMAL
29.0,0,36.446931,127.372278,19.86,1667554146000,NORMAL
29.0,0,36.446292,127.373040,19.86,1667554151000,NORMAL
29.0,0,36.445613,127.374043,19.39,1667554157000,NORMAL
29.0,0,36.445036,127.375131,19.39,1667554163000,NORMAL
29.0,0,36.444565,127.376289,19.39,1667554169000,NORMAL
29.0,0,36.444264,127.377293,19.03,1667554174000,NORMAL
29.0,0,36.444036,127.378326,19.09,1667554179000,NORMAL
29.0,0,36.443870,127.379593,19.03,1667554185000,NORMAL
29.0,0,36.443814,127.380680,19.45,1667554190000,NORMAL
29.0,0,36.443821,127.382059,20.99,1667554196000,NORMAL
29.0,0,36.443818,127.383533,22.17,1667554202000,NORMAL
29.0,0,36.443788,127.385050,23.51,1667554208000,NORMAL
29.0,0,36.443748,127.386600,22.69,1667554214000,NORMAL
29.0,0,36.443464,127.388049,22.28,1667554220000,NORMAL
29.0,0,36.443060,127.389144,21.04,1667554225000,NORMAL
29.0,0,36.442403,127.390307,21.14,1667554231000,NORMAL
29.0,0,36.441669,127.391184,23.51,1667554236000,NORMAL
29.0,0,36.440624,127.392183,25.10,1667554242000,NORMAL
29.0,0,36.439553,127.393206,24.64,1667554248000,NORMAL
29.0,0,36.438793,127.394187,24.28,1667554253000,NORMAL
29.0,0,36.438176,127.395267,23.46,1667554258000,NORMAL
29.0,0,36.437489,127.396556,22.64,1667554264000,NORMAL
