accuracy,id,lat,lng,speed,time,type
11.4,0,36.499086,127.259853,0.07,1667531302000,START
14.5,0,36.499088,127.259887,0.00,1667531307000,STOP
14.5,0,36.499111,127.259856,1.59,1667531401000,NORMAL
14.5,0,36.499174,127.259770,2.88,1667531407000,NORMAL
14.5,0,36.499268,127.259669,2.06,1667531412000,NORMAL
14.5,0,36.499306,127.259773,3.96,1667531417000,NORMAL
14.5,0,36.499146,127.260084,6.74,1667531422000,NORMAL
14.5,0,36.499018,127.260351,4.58,1667531428000,NORMAL
14.5,0,36.498876,127.260643,5.76,1667531433000,NORMAL
14.5,0,36.498736,127.260934,4.63,1667531438000,NORMAL
14.5,0,36.498633,127.261152,4.37,1667531443000,NORMAL
14.5,0,36.498541,127.261339,3.34,1667531449000,NORMAL
14.5,0,36.498370,127.261377,4.68,1667531454000,NORMAL
14.5,0,36.498154,127.261274,5.25,1667531459000,NORMAL
14.5,0,36.497931,127.261167,4.17,1667531464000,NORMAL
14.5,0,36.497879,127.261141,0.00,1667531470000,STOP
14.5,0,36.497845,127.261124,3.04,1667531496000,NORMAL
14.5,0,36.497630,127.260996,6.07,1667531501000,NORMAL
14.5,0,36.497360,127.261305,9.16,1667531506000,NORMAL
14.5,0,36.497165,127.261832,10.80,1667531512000,NORMAL
14.5,0,36.496955,127.262475,11.16,1667531517000,NORMAL
14.5,0,36.496794,127.262994,8.44,1667531522000,NORMAL
14.5,0,36.496659,127.263386,5.66,1667531527000,NORMAL
14.5,0,36.496323,127.263298,9.00,1667531533000,NORMAL
14.5,0,36.495834,127.263046,11.94,1667531538000,NORMAL
14.5,0,36.495262,127.262859,13.63,1667531543000,NORMAL
14.5,0,36.494629,127.262683,10.39,1667531548000,NORMAL
14.5,0,36.494277,127.262620,4.84,1667531554000,NORMAL
14.5,0,36.494205,127.262610,0.31,1667531559000,STOP
14.5,0,36.494055,127.262589,5.71,1667531601000,NORMAL
14.5,0,36.493707,127.262551,9.83,1667531606000,NORMAL
14.5,0,36.493130,127.262532,13.48,1667531611000,NORMAL
14.5,0,36.492519,127.262559,13.43,1667531617000,NORMAL
14.5,0,36.491832,127.262617,14.04,1667531622000,NORMAL
29.0,0,36.491247,127.262727,12.55,1667531627000,NORMAL
14.5,0,36.490657,127.262852,11.68,1667531632000,NORMAL
29.0,0,36.490174,127.263002,10.85,1667531638000,NORMAL
14.5,0,36.489624,127.263216,12.30,1667531643000,NORMAL
14.5,0,36.489146,127.263438,9.57,1667531648000,NORMAL
14.5,0,36.488847,127.263596,2.78,1667531653000,NORMAL
14.5,0,36.488820,127.263612,0.00,1667531659000,STOP
14.5,0,36.488697,127.263681,5.35,1667531711000,NORMAL
14.5,0,36.488383,127.263879,8.95,1667531716000,NORMAL
29.0,0,36.487956,127.264166,12.24,1667531722000,NORMAL
