accuracy,id,lat,lng,speed,time,type
5.499,32628,36.3066676,127.3844359,7.274277,1667627988999,START
5.499,32629,36.3066955,127.3843705,6.2573447,1667627989999,NORMAL
5.499,32630,36.3067335,127.3842782,3.9520643,1667627991999,NORMAL
5.0,32631,36.3067453,127.3842512,2.7441757,1667627992999,NORMAL
4.8,32632,36.3067618,127.3842164,1.1499068,1667627994999,NORMAL
4.4,32633,36.3067654,127.3842105,1.0591944,1667627995999,NORMAL
4.8,32634,36.3067699,127.3841973,0.47317708,1667627997999,NORMAL
6.142,32635,36.3067718,127.3841948,0.28977463,1667627998999,NORMAL
6.142,32636,36.3067722,127.3841949,1.6393008E-11,1667628000999,NORMAL
5.809,32637,36.3067721,127.3841951,1.2006416E-12,1667628001999,NORMAL
5.096,32638,36.3067758,127.3841814,0.73281693,1667628003999,NORMAL
5.43,32639,36.3067791,127.3841672,1.158951,1667628004999,NORMAL
5.43,32640,36.3067761,127.3841326,1.4565498,1667628006999,NORMAL
5.475,32641,36.3067611,127.3841033,2.360762,1667628008732,NORMAL
5.142,32642,36.3067074,127.3840472,5.2757077,1667628009999,NORMAL
5.142,32643,36.3066581,127.3840074,6.4994016,1667628010999,NORMAL
5.142,32644,36.306535,127.3839134,8.710527,1667628012999,NORMAL
4.0,32645,36.306461,127.3838552,9.6113405,1667628013999,NORMAL
4.0,32646,36.3062997,127.3837272,11.06203,1667628015999,NORMAL
4.0,32647,36.3062113,127.3836557,11.472733,1667628016999,NORMAL
4.0,32648,36.3060296,127.3835088,11.847087,1667628018999,NORMAL
4.0,32649,36.305938,127.3834354,12.051336,1667628019999,NORMAL
4.0,32650,36.305751,127.383288,12.074454,1667628021999,NORMAL
4.0,32651,36.3056591,127.3832158,11.866708,1667628022999,NORMAL
4.0,32652,36.3054777,127.3830717,11.779561,1667628024999,NORMAL
4.0,32653,36.305392,127.3830037,11.179695,1667628025999,NORMAL
4.0,32654,36.305256,127.3828961,7.7274528,1667628027999,NORMAL
4.0,32655,36.3052034,127.3828543,7.0485234,1667628028999,NORMAL
4.0,32656,36.3051161,127.3827847,4.3000865,1667628030999,NORMAL
4.0,32657,36.3050906,127.3827629,3.4130485,1667628031999,NORMAL
4.0,32658,36.3050717,127.3827464,0.36064568,1667628033999,NORMAL
4.0,32659,36.3050737,127.382748,3.5518538E-6,1667628034999,NORMAL
4.8,32660,36.3050756,127.3827495,2.8133086E-12,1667628036999,NORMAL
5.2,32661,36.3050758,127.3827497,9.664686E-13,1667628037999,NORMAL
6.333,32662,36.3050759,127.3827498,3.527746E-14,1667628039999,NORMAL
6.666,32663,36.3050759,127.3827498,3.2307527E-14,1667628040999,NORMAL
7.0,32664,36.3050759,127.3827498,9.608396E-15,1667628042999,NORMAL
8.229,32665,36.3050759,127.3827498,1.0910452E-10,1667628043999,NORMAL
7.625,32666,36.3050759,127.3827498,4.381817E-16,1667628045999,NORMAL
7.339,32667,36.3050759,127.3827498,1.7019821E-16,1667628046999,NORMAL
6.213,32668,36.3050759,127.3827498,2.7385164E-12,1667628048999,NORMAL
5.927,32669,36.3050759,127.3827498,1.8078614E-15,1667628049999,NORMAL
5.582,32670,36.3050759,127.3827498,2.4381401E-16,1667628051999,NORMAL
5.915,32671,36.3050759,127.3827498,1.3101736E-16,1667628052999,NORMAL
6.612,32672,36.3050759,127.3827498,4.815648E-17,1667628054999,NORMAL
6.612,32673,36.3050759,127.3827498,3.4742056E-17,1667628055999,NORMAL
6.898,32674,36.3050759,127.3827498,3.0363484E-19,1667628057999,NORMAL
7.234,32675,36.3050759,127.3827498,2.6341528E-15,1667628058999,NORMAL
7.067,32676,36.3050611,127.3827432,1.5588242,1667628060999,NORMAL
7.067,32677,36.3050378,127.3827262,2.8596783,1667628061999,NORMAL
6.438,32678,36.3049774,127.3826796,3.7646458,1667628063999,NORMAL
6.938,32679,36.3049467,127.382656,3.7099528,1667628064999,NORMAL
6.804,32680,36.304892,127.3826167,2.4749494,1667628066999,NORMAL
6.804,32681,36.3048838,127.3826114,0.40163952,1667628067999,NORMAL
7.453,32682,36.3048891,127.3826154,1.13969745E-11,1667628069999,NORMAL
7.453,32683,36.3048899,127.3826159,3.0805795E-11,1667628070999,NORMAL
7.695,32684,36.3048903,127.3826162,5.5729314E-13,1667628072999,NORMAL
7.755,32685,36.3048904,127.3826163,6.5242802E-9,1667628073999,NORMAL
7.218,32686,36.3048904,127.3826163,1.1531919E-13,1667628075999,NORMAL
7.088,32687,36.3048904,127.3826163,3.5953293E-14,1667628076999,NORMAL
6.188,32688,36.3048904,127.3826163,6.230565E-11,1667628078999,NORMAL
5.886,32689,36.3048904,127.3826163,6.307593E-14,1667628079999,NORMAL
5.617,32690,36.3048904,127.3826163,1.2632164E-14,1667628081999,NORMAL
5.617,32691,36.3048904,127.3826163,1.1812144E-16,1667628082999,NORMAL
5.776,32692,36.3048904,127.3826163,1.3661602E-17,1667628084999,NORMAL
5.776,32693,36.3048904,127.3826163,3.892125E-18,1667628085999,NORMAL
6.072,32694,36.3048904,127.3826163,1.5092546E-17,1667628087999,NORMAL
6.621,32695,36.3048904,127.3826163,7.134851E-15,1667628089212,NORMAL
5.872,32696,36.3048904,127.3826163,7.844562E-16,1667628090999,NORMAL
6.157,32697,36.3048904,127.3826163,3.657858E-16,1667628091999,NORMAL
6.729,32698,36.3048904,127.3826163,7.051366E-19,1667628093999,NORMAL
5.745,32699,36.3048904,127.3826163,5.580818E-17,1667628094999,NORMAL
6.078,32700,36.3048904,127.3826163,6.5313735E-20,1667628096999,NORMAL
6.078,32701,36.3048904,127.3826163,1.56715E-21,1667628097999,NORMAL
5.835,32702,36.3048904,127.3826163,1.2739663E-18,1667628099999,NORMAL
5.474,32703,36.3048904,127.3826163,6.2379315E-23,1667628100999,NORMAL
4.807,32704,36.3048904,127.3826163,2.2792123E-23,1667628102999,NORMAL
4.247,32705,36.3048904,127.3826163,2.5031306E-20,1667628104316,NORMAL
4.211,32706,36.3048904,127.3826163,2.6814358E-25,1667628105999,NORMAL
4.247,32707,36.3048904,127.3826163,3.481256E-30,1667628106999,NORMAL
4.247,32708,36.3048904,127.3826163,4.15334E-40,1667628108999,NORMAL
4.287,32709,36.3048904,127.3826163,4.2E-45,1667628109999,NORMAL
4.287,32710,36.3048904,127.3826163,0.0,1667628111999,NORMAL
4.287,32711,36.3048904,127.3826163,0.0,1667628112999,NORMAL
4.355,32712,36.3048904,127.3826163,0.0,1667628114999,NORMAL
4.355,32713,36.3048783,127.3826209,0.4822965,1667628115999,NORMAL
4.927,32714,36.3048441,127.3826084,3.6525276,1667628117999,NORMAL
5.772,32715,36.3047937,127.3825721,5.08173,1667628119417,NORMAL
5.772,32716,36.3046969,127.3824961,6.7679944,1667628120999,NORMAL
5.439,32717,36.3046407,127.3824508,7.1061683,1667628121999,NORMAL
4.772,32718,36.3045248,127.3823577,7.519878,1667628123999,NORMAL
4.0,32719,36.3044654,127.3823121,7.725575,1667628124999,NORMAL
4.0,32720,36.3043282,127.3822397,8.509439,1667628126999,NORMAL
4.4,32721,36.304251,127.3822171,8.869888,1667628127999,NORMAL
4.8,32722,36.3040835,127.3821879,9.804637,1667628129999,NORMAL
4.666,32723,36.3039949,127.3821712,10.011176,1667628130999,NORMAL
4.4,32724,36.3038133,127.3821515,9.880533,1667628132999,NORMAL
4.0,32725,36.3037264,127.3821555,9.500881,1667628133999,NORMAL
4.0,32726,36.3035724,127.3822026,8.377617,1667628135999,NORMAL
4.0,32727,36.3035117,127.3822432,7.2215114,1667628136999,NORMAL
3.833,32728,36.3034086,127.3823315,7.5704403,1667628138999,NORMAL
3.833,32729,36.3033511,127.3823921,8.262575,1667628139999,NORMAL
3.833,32730,36.3032267,127.3825327,9.722535,1667628141999,NORMAL
4.0,32731,36.30316,127.3826126,10.230501,1667628142999,NORMAL
4.0,32732,36.3030226,127.3827792,10.475986,1667628144999,NORMAL
4.0,32733,36.3029532,127.3828604,10.50936,1667628145999,NORMAL
4.0,32734,36.3028155,127.3830165,10.290471,1667628147999,NORMAL
4.0,32735,36.3027466,127.3830924,10.269286,1667628148999,NORMAL
4.0,32736,36.302613,127.3832385,7.7968063,1667628150999,NORMAL
4.0,32737,36.3025623,127.3832804,6.947228,1667628151999,NORMAL
4.0,32738,36.3024674,127.3833467,6.140001,1667628153999,NORMAL
4.0,32739,36.3024173,127.3833846,6.658376,1667628154999,NORMAL
4.0,32740,36.3023047,127.3834706,7.699699,1667628156999,NORMAL
4.4,32741,36.3022435,127.3835211,8.382319,1667628157999,NORMAL
4.8,32742,36.3021115,127.3836359,8.804685,1667628159999,NORMAL
4.666,32743,36.3020473,127.3836932,8.536744,1667628160999,NORMAL
4.4,32744,36.3019269,127.3837991,7.9158206,1667628162999,NORMAL
4.333,32745,36.3018733,127.383856,7.927259,1667628163999,NORMAL
4.0,32746,36.3018016,127.3840115,8.1531725,1667628165999,NORMAL
4.0,32747,36.301779,127.3840975,8.042582,1667628166999,NORMAL
4.666,32748,36.3017365,127.3842402,6.0930123,1667628168999,NORMAL
5.0,32749,36.3017166,127.3842982,6.017217,1667628169999,NORMAL
5.333,32750,36.3016617,127.384398,5.412895,1667628171999,NORMAL
5.333,32751,36.3016178,127.3844204,5.422558,1667628172999,NORMAL
4.4,32752,36.3015107,127.3844139,5.822264,1667628174999,NORMAL
4.0,32753,36.3014657,127.3843979,4.7331443,1667628175999,NORMAL
4.0,32754,36.3013825,127.384358,5.7186255,1667628177999,NORMAL
4.0,32755,36.3013266,127.3843326,6.761187,1667628178999,NORMAL
4.4,32756,36.3011942,127.3842727,7.4853215,1667628180999,NORMAL
4.8,32757,36.301133,127.3842467,6.7240524,1667628181999,NORMAL
5.6,32758,36.3010277,127.3842019,6.2355614,1667628183999,NORMAL
5.6,32759,36.300971,127.384177,7.037379,1667628184999,NORMAL
6.0,32760,36.3008354,127.3841188,8.292496,1667628186999,NORMAL
6.0,32761,36.3007593,127.3840896,8.775717,1667628187999,NORMAL
6.0,32762,36.3006002,127.3840459,8.970988,1667628189999,NORMAL
5.666,32763,36.3005181,127.3840366,8.922505,1667628190999,NORMAL
5.0,32764,36.3003586,127.3840405,8.85511,1667628192999,NORMAL
4.4,32765,36.3002786,127.3840438,8.910721,1667628193999,NORMAL
3.98,32766,36.300125,127.3840488,7.7300496,1667628195999,NORMAL
3.98,32767,36.3000664,127.3840504,6.395495,1667628196999,NORMAL
