accuracy,id,lat,lng,speed,time,type
15.497,8920,36.3417444,127.3771156,0.0,1667644361022,START
15.207,8921,36.3417268,127.377231,1.3934301,1667644366019,NORMAL
8.0,8922,36.3416238,127.3775643,4.8304543,1667644373784,NORMAL
19.061,8923,36.3416094,127.3776008,4.187698,1667644374797,NORMAL
16.0,8924,36.3416005,127.3777816,1.9531057,1667644381000,NORMAL
12.571,8925,36.3415951,127.3777967,1.8253729,1667644382000,NORMAL
8.8,8926,36.341587,127.3778289,1.540447,1667644384000,NORMAL
7.6,8927,36.3415814,127.3778421,0.54992026,1667644385000,NORMAL
7.0,8928,36.3415739,127.3778446,0.30732125,1667644387000,NORMAL
6.4,8929,36.3415716,127.3778443,0.6910252,1667644388000,NORMAL
6.0,8930,36.3415717,127.3778572,1.2039807,1667644390000,NORMAL
6.0,8931,36.3415714,127.3778672,1.3389858,1667644391000,NORMAL
6.0,8932,36.3415822,127.3778996,2.8353035,1667644393000,NORMAL
6.0,8933,36.3416092,127.3779187,3.6291976,1667644394000,NORMAL
6.4,8934,36.3416859,127.3779686,5.244418,1667644396000,NORMAL
6.8,8935,36.3417331,127.3780014,5.723304,1667644397000,NORMAL
7.6,8936,36.3418537,127.3780819,7.642407,1667644399000,NORMAL
7.666,8937,36.341928,127.3781287,8.659816,1667644400000,NORMAL
8.0,8938,36.3420925,127.3782275,8.459381,1667644402000,NORMAL
8.0,8939,36.3421706,127.3782736,7.2486653,1667644403000,NORMAL
8.0,8940,36.3422942,127.3783434,5.5028687,1667644405000,NORMAL
8.0,8941,36.3423449,127.378364,4.8237295,1667644406000,NORMAL
8.0,8942,36.3424343,127.3784067,5.1783714,1667644408000,NORMAL
8.0,8943,36.3424781,127.3784292,4.8419113,1667644409000,NORMAL
8.0,8944,36.342559,127.3784754,4.9620843,1667644411000,NORMAL
8.666,8945,36.3426612,127.3785396,6.169118,1667644413000,NORMAL
8.666,8946,36.3427215,127.3785767,6.2299533,1667644414000,NORMAL
8.8,8947,36.3427823,127.3786135,5.8913417,1667644415000,NORMAL
8.0,8948,36.3428922,127.37868,5.839563,1667644417000,NORMAL
8.0,8949,36.3429447,127.3787164,5.688366,1667644418000,NORMAL
8.0,8950,36.3430487,127.3787946,7.486318,1667644420000,NORMAL
8.0,8951,36.3431786,127.3788851,7.248711,1667644422000,NORMAL
8.0,8952,36.3432476,127.3789289,7.569753,1667644423000,NORMAL
8.0,8953,36.3433186,127.3789718,7.772108,1667644424000,NORMAL
8.0,8954,36.3434592,127.3790563,7.5222845,1667644426000,NORMAL
8.0,8955,36.3435235,127.379095,6.924888,1667644427000,NORMAL
8.0,8956,36.3436328,127.3791588,4.6045017,1667644429000,NORMAL
8.0,8957,36.3436752,127.3791813,4.3045297,1667644430000,NORMAL
8.0,8958,36.3437401,127.3792195,2.6482666,1667644432000,NORMAL
8.0,8959,36.3437592,127.3792324,1.9093846,1667644433000,NORMAL
8.0,8960,36.3437799,127.3792399,0.9339214,1667644435000,NORMAL
8.778,8962,36.3437803,127.3792377,2.2987426E-6,1667644438000,NORMAL
8.908,8961,36.3437834,127.3792395,0.34732196,1667644438411,NORMAL
8.778,8963,36.3437796,127.3792373,6.948642E-7,1667644439000,NORMAL
8.908,8964,36.3437791,127.3792371,1.3960258E-8,1667644441000,NORMAL
8.894,8965,36.3437791,127.379237,3.059356E-7,1667644442000,NORMAL
9.043,8966,36.343779,127.379237,5.279637E-10,1667644444000,NORMAL
8.709,8967,36.343779,127.379237,2.529966E-9,1667644445000,NORMAL
8.789,8968,36.343779,127.379237,7.531825E-8,1667644447000,NORMAL
8.676,8969,36.343779,127.379237,1.2541135E-9,1667644448000,NORMAL
8.789,8970,36.3437858,127.379229,2.2768993,1667644450000,NORMAL
8.585,8972,36.3438621,127.3791499,4.577368,1667644453000,NORMAL
8.753,8971,36.3438182,127.3792017,3.8092794,1667644453558,NORMAL
8.479,8973,36.3438973,127.3791134,5.1448092,1667644454000,NORMAL
8.661,8974,36.3439883,127.3790444,6.0866494,1667644456000,NORMAL
8.0,8975,36.3440421,127.3790109,6.0963454,1667644457000,NORMAL
8.0,8976,36.3441587,127.3789366,7.1038632,1667644459000,OVER_ACCEL
8.0,8977,36.3442205,127.3788966,7.3730392,1667644460000,NORMAL
8.0,8978,36.3443486,127.3788123,7.2382765,1667644462000,NORMAL
8.0,8979,36.3444061,127.3787678,7.3304157,1667644463000,NORMAL
8.0,8980,36.3445209,127.3786861,7.1001506,1667644465000,NORMAL
