accuracy,id,lat,lng,speed,time,type
8.1,0,36.503169,127.260688,13.61,1667897215000,START
8.1,0,36.502429,127.260284,14.78,1667897221000,NORMAL
11.0,0,36.501855,127.260000,12.11,1667897226000,NORMAL
8.1,0,36.501656,127.259902,0.00,1667897232000,STOP
11.0,0,36.501582,127.259866,2.66,1667897253000,NORMAL
8.1,0,36.501296,127.259724,7.24,1667897259000,NORMAL
8.1,0,36.500822,127.259487,10.63,1667897265000,NORMAL
11.8,0,36.500303,127.259228,13.36,1667897270000,NORMAL
12.1,0,36.499640,127.258898,12.98,1667897276000,NORMAL
12.6,0,36.499026,127.258502,13.01,1667897282000,NORMAL
12.2,0,36.498483,127.258149,13.95,1667897287000,NORMAL
11.6,0,36.497890,127.257773,15.03,1667897292000,NORMAL
8.1,0,36.497144,127.257328,15.69,1667897298000,NORMAL
8.1,0,36.496302,127.256945,16.59,1667897304000,NORMAL
8.1,0,36.495561,127.256672,16.49,1667897309000,NORMAL
12.1,0,36.494986,127.256511,11.31,1667897314000,NORMAL
12.7,0,36.494730,127.256450,0.52,1667897320000,STOP
8.1,0,36.494538,127.256409,4.57,1667897337000,NORMAL
8.1,0,36.494249,127.256342,6.94,1667897342000,NORMAL
8.1,0,36.493877,127.256300,9.37,1667897347000,NORMAL
11.0,0,36.493401,127.256244,11.60,1667897352000,NORMAL
8.1,0,36.492636,127.256252,15.26,1667897358000,NORMAL
7.9,0,36.491688,127.256272,17.61,1667897364000,NORMAL
11.2,0,36.488023,127.257127,12.64,1667897389000,NORMAL
11.4,0,36.487606,127.257310,4.38,1667897395000,NORMAL
11.2,0,36.487599,127.257313,0.00,1667897400000,STOP
8.1,0,36.487575,127.257323,2.11,1667897423000,NORMAL
8.1,0,36.487410,127.257398,4.90,1667897428000,NORMAL
8.1,0,36.487111,127.257562,7.99,1667897433000,NORMAL
8.1,0,36.486630,127.257844,10.91,1667897439000,NORMAL
8.1,0,36.486151,127.258126,12.95,1667897444000,NORMAL
8.1,0,36.485545,127.258524,16.46,1667897449000,NORMAL
8.1,0,36.484683,127.259120,19.06,1667897455000,NORMAL
12.9,0,36.483888,127.259679,20.14,1667897460000,NORMAL
15.7,0,36.482007,127.261065,16.49,1667897474000,NORMAL
15.8,0,36.481431,127.261483,13.20,1667897479000,NORMAL
13.6,0,36.481051,127.261758,7.02,1667897484000,NORMAL
13.1,0,36.480982,127.261808,0.00,1667897490000,STOP
12.3,0,36.480932,127.261844,2.48,1667897506000,NORMAL
8.1,0,36.480682,127.262025,7.19,1667897512000,NORMAL
8.1,0,36.480285,127.262311,8.65,1667897518000,NORMAL
8.1,0,36.479900,127.262588,8.26,1667897524000,NORMAL
8.1,0,36.479634,127.262780,5.04,1667897529000,NORMAL
8.1,0,36.479569,127.262827,0.00,1667897535000,STOP
8.1,0,36.479483,127.262889,3.47,1667897597000,NORMAL
