accuracy,id,lat,lng,speed,time,type
14.5,0,36.356336,127.435912,7.77,1668059635000,START
14.5,0,36.356670,127.435516,8.90,1668059641000,NORMAL
14.5,0,36.357033,127.435086,9.47,1668059647000,NORMAL
14.5,0,36.357345,127.434684,9.98,1668059652000,NORMAL
14.5,0,36.357665,127.434300,8.90,1668059657000,NORMAL
14.5,0,36.357943,127.433970,4.17,1668059663000,NORMAL
14.5,0,36.358019,127.433879,0.00,1668059669000,STOP
14.5,0,36.358040,127.433856,3.04,1668059691000,NORMAL
14.5,0,36.358235,127.433636,3.91,1668059697000,NORMAL
14.5,0,36.358359,127.433489,4.99,1668059702000,NORMAL
14.5,0,36.358518,127.433304,2.52,1668059708000,NORMAL
14.5,0,36.358586,127.433224,0.00,1668059714000,STOP
14.5,0,36.358708,127.433079,2.52,1668059835000,NORMAL
14.5,0,36.358855,127.432905,6.69,1668059840000,NORMAL
14.5,0,36.359110,127.432460,8.08,1668059846000,NORMAL
14.5,0,36.359191,127.432023,7.20,1668059851000,NORMAL
14.5,0,36.359190,127.431692,3.60,1668059856000,NORMAL
14.5,0,36.359187,127.431502,0.82,1668059862000,STOP
14.5,0,36.359185,127.431444,1.65,1668059883000,NORMAL
14.5,0,36.359184,127.431376,0.00,1668059888000,STOP
14.5,0,36.359182,127.431248,1.13,1668059928000,NORMAL
14.5,0,36.359182,127.431211,1.13,1668059934000,NORMAL
14.5,0,36.359180,127.431064,1.39,1668059940000,NORMAL
14.5,0,36.359180,127.430944,1.65,1668059946000,NORMAL
14.5,0,36.359190,127.430824,1.95,1668059952000,NORMAL
14.5,0,36.359199,127.430695,2.52,1668059957000,NORMAL
14.5,0,36.359201,127.430613,0.57,1668059963000,STOP
14.5,0,36.359215,127.430441,4.99,1668059969000,NORMAL
14.5,0,36.359200,127.430060,6.12,1668059975000,NORMAL
14.5,0,36.359300,127.429828,4.42,1668059981000,NORMAL
14.5,0,36.359570,127.429813,6.95,1668059987000,NORMAL
14.5,0,36.359934,127.429795,9.47,1668059992000,NORMAL
14.5,0,36.360452,127.429776,8.33,1668059998000,NORMAL
14.5,0,36.360768,127.429777,3.34,1668060004000,NORMAL
14.5,0,36.361004,127.429758,5.81,1668060009000,NORMAL
14.5,0,36.361205,127.429760,2.21,1668060014000,NORMAL
14.5,0,36.361332,127.429719,5.30,1668060020000,NORMAL
14.5,0,36.361584,127.429643,6.95,1668060025000,NORMAL
14.5,0,36.361927,127.429547,8.59,1668060030000,NORMAL
14.5,0,36.362346,127.429435,9.98,1668060035000,NORMAL
14.5,0,36.362873,127.429291,10.29,1668060041000,NORMAL
14.5,0,36.363335,127.429161,9.98,1668060046000,NORMAL
14.5,0,36.363709,127.429054,7.51,1668060051000,NORMAL
14.5,0,36.364132,127.428927,7.51,1668060057000,NORMAL
14.5,0,36.364488,127.428831,8.33,1668060062000,NORMAL
14.5,0,36.364783,127.428757,1.13,1668060068000,NORMAL
14.5,0,36.364894,127.428724,4.42,1668060073000,NORMAL
14.5,0,36.365170,127.428638,6.38,1668060079000,NORMAL
14.5,0,36.365582,127.428523,9.47,1668060085000,NORMAL
14.5,0,36.366032,127.428407,10.55,1668060090000,NORMAL
14.5,0,36.366545,127.428262,7.51,1668060096000,NORMAL
14.5,0,36.366723,127.428220,0.00,1668060101000,STOP
14.5,0,36.366852,127.428172,5.56,1668060156000,NORMAL
14.5,0,36.367210,127.428059,8.33,1668060162000,NORMAL
14.5,0,36.367685,127.427922,7.77,1668060168000,NORMAL
14.5,0,36.367993,127.427835,6.69,1668060173000,NORMAL
14.5,0,36.368353,127.427735,9.16,1668060178000,NORMAL
14.5,0,36.368875,127.427588,10.55,1668060184000,NORMAL
14.5,0,36.369321,127.427460,8.90,1668060189000,NORMAL
14.5,0,36.369814,127.427322,9.16,1668060195000,NORMAL
14.5,0,36.370161,127.427225,4.99,1668060200000,NORMAL
14.5,0,36.370270,127.427193,0.00,1668060206000,STOP
14.5,0,36.370285,127.427189,2.52,1668060221000,NORMAL
14.5,0,36.370546,127.427126,9.16,1668060226000,NORMAL
14.5,0,36.371008,127.426998,10.55,1668060231000,NORMAL
14.5,0,36.371478,127.426865,6.69,1668060237000,NORMAL
14.5,0,36.371963,127.426728,11.68,1668060243000,NORMAL
14.5,0,36.372460,127.426586,5.81,1668060249000,NORMAL
14.5,0,36.372796,127.426481,9.72,1668060254000,NORMAL
14.5,0,36.373307,127.426351,8.59,1668060260000,NORMAL
14.5,0,36.373574,127.426273,0.00,1668060266000,STOP
14.5,0,36.373609,127.426260,3.91,1668060305000,NORMAL
14.5,0,36.373789,127.426017,8.08,1668060310000,NORMAL
14.5,0,36.373564,127.425407,10.55,1668060316000,NORMAL
14.5,0,36.373392,127.424961,1.95,1668060322000,NORMAL
14.5,0,36.373383,127.424936,0.00,1668060328000,STOP
14.5,0,36.373347,127.424845,5.30,1668060362000,NORMAL
14.5,0,36.373167,127.424320,10.29,1668060368000,NORMAL
14.5,0,36.373089,127.423634,15.02,1668060373000,NORMAL
14.5,0,36.373039,127.422606,15.28,1668060379000,NORMAL
14.5,0,36.373013,127.421781,13.32,1668060384000,NORMAL
14.5,0,36.373081,127.421162,7.20,1668060389000,NORMAL
14.5,0,36.373145,127.420835,4.17,1668060395000,NORMAL
14.5,0,36.373178,127.420679,0.00,1668060400000,STOP
14.5,0,36.373210,127.420579,6.38,1668060472000,NORMAL
14.5,0,36.373442,127.419959,13.07,1668060478000,NORMAL
14.5,0,36.373842,127.419509,9.98,1668060483000,NORMAL
14.5,0,36.374229,127.419079,8.59,1668060489000,NORMAL
14.5,0,36.374614,127.418528,13.63,1668060495000,NORMAL
14.5,0,36.374883,127.417751,16.67,1668060500000,NORMAL
14.5,0,36.375222,127.416662,17.49,1668060506000,NORMAL
14.5,0,36.375520,127.415751,17.49,1668060511000,NORMAL
14.5,0,36.375849,127.414705,14.46,1668060517000,NORMAL
14.5,0,36.376101,127.414013,12.50,1668060522000,NORMAL
14.5,0,36.376319,127.413397,12.50,1668060527000,NORMAL
14.5,0,36.376563,127.412717,12.50,1668060532000,NORMAL
14.5,0,36.376780,127.412267,6.38,1668060537000,NORMAL
14.5,0,36.376930,127.411979,5.56,1668060542000,NORMAL
14.5,0,36.377085,127.411705,5.30,1668060548000,NORMAL
14.5,0,36.377281,127.411493,6.38,1668060553000,NORMAL
14.5,0,36.377667,127.411487,7.77,1668060559000,NORMAL
14.5,0,36.378085,127.411710,7.77,1668060565000,NORMAL
14.5,0,36.378427,127.411880,8.90,1668060570000,NORMAL
14.5,0,36.378867,127.412034,11.68,1668060575000,NORMAL
14.5,0,36.379523,127.412124,13.07,1668060581000,NORMAL
14.5,0,36.380112,127.412188,13.07,1668060586000,NORMAL
14.5,0,36.380807,127.412296,13.32,1668060592000,NORMAL
14.5,0,36.381538,127.412416,13.89,1668060598000,NORMAL
14.5,0,36.382184,127.412521,15.02,1668060603000,NORMAL
14.5,0,36.382881,127.412635,15.84,1668060608000,NORMAL
14.5,0,36.383577,127.412725,13.32,1668060613000,NORMAL
14.5,0,36.384321,127.412785,15.02,1668060619000,NORMAL
14.5,0,36.384995,127.412791,15.84,1668060624000,NORMAL
14.5,0,36.385783,127.412772,20.58,1668060629000,NORMAL
14.5,0,36.386763,127.412788,22.48,1668060634000,NORMAL
14.5,0,36.387945,127.412846,21.09,1668060640000,NORMAL
14.5,0,36.389107,127.412883,21.66,1668060646000,NORMAL
14.5,0,36.390057,127.412914,19.70,1668060651000,NORMAL
14.5,0,36.390925,127.412943,18.88,1668060656000,NORMAL
14.5,0,36.391944,127.413020,19.19,1668060662000,NORMAL
14.5,0,36.392802,127.413139,18.88,1668060667000,NORMAL
14.5,0,36.393854,127.413275,19.70,1668060673000,NORMAL
