accuracy,id,lat,lng,speed,time,type
29.0,0,36.294984,127.322993,4.84,1668157559000,START
29.0,0,36.295026,127.322719,2.47,1668157565000,NORMAL
29.0,0,36.295078,127.322524,4.48,1668157571000,NORMAL
29.0,0,36.295146,127.322266,1.85,1668157577000,NORMAL
29.0,0,36.295157,127.322223,0.00,1668157582000,STOP
29.0,0,36.295165,127.322141,4.17,1668157671000,NORMAL
29.0,0,36.295246,127.321865,7.00,1668157676000,NORMAL
29.0,0,36.295324,127.321412,7.15,1668157682000,NORMAL
29.0,0,36.294904,127.321104,9.52,1668157688000,NORMAL
29.0,0,36.294426,127.320919,7.15,1668157694000,NORMAL
29.0,0,36.294114,127.320798,5.30,1668157700000,NORMAL
29.0,0,36.293948,127.320734,0.15,1668157706000,STOP
29.0,0,36.293941,127.320731,2.26,1668157736000,NORMAL
29.0,0,36.293682,127.320632,9.67,1668157742000,NORMAL
29.0,0,36.293084,127.320408,15.28,1668157748000,NORMAL
29.0,0,36.292392,127.320138,18.62,1668157753000,NORMAL
29.0,0,36.291414,127.319916,19.45,1668157759000,NORMAL
29.0,0,36.290550,127.319941,20.06,1668157764000,NORMAL
29.0,0,36.289514,127.320010,18.78,1668157770000,NORMAL
29.0,0,36.288694,127.319982,19.50,1668157775000,NORMAL
29.0,0,36.287858,127.319752,20.22,1668157780000,NORMAL
29.0,0,36.286928,127.319056,21.76,1668157786000,NORMAL
29.0,0,36.286285,127.318165,22.22,1668157791000,NORMAL
29.0,0,36.285839,127.316872,21.20,1668157797000,NORMAL
29.0,0,36.285728,127.315748,21.86,1668157802000,NORMAL
29.0,0,36.285832,127.314323,21.97,1668157808000,NORMAL
29.0,0,36.285901,127.312980,18.26,1668157814000,NORMAL
29.0,0,36.285717,127.312057,16.00,1668157819000,NORMAL
29.0,0,36.285376,127.311304,6.95,1668157825000,NORMAL
29.0,0,36.285264,127.311128,0.00,1668157830000,STOP
29.0,0,36.285181,127.311013,8.85,1668157842000,NORMAL
29.0,0,36.284704,127.310561,16.67,1668157848000,NORMAL
29.0,0,36.283987,127.310074,21.04,1668157853000,NORMAL
29.0,0,36.283150,127.309085,23.97,1668157859000,NORMAL
29.0,0,36.282685,127.308191,25.05,1668157864000,NORMAL
29.0,0,36.281844,127.306613,24.49,1668157870000,NORMAL
29.0,0,36.281547,127.305324,25.93,1668157875000,NORMAL
29.0,0,36.281429,127.303617,26.24,1668157881000,NORMAL
29.0,0,36.281071,127.302266,26.60,1668157886000,NORMAL
29.0,0,36.280287,127.300852,25.62,1668157892000,NORMAL
29.0,0,36.279802,127.299374,24.44,1668157898000,NORMAL
29.0,0,36.279530,127.298084,24.33,1668157903000,NORMAL
29.0,0,36.279191,127.296865,23.72,1668157908000,NORMAL
29.0,0,36.278545,127.295531,24.85,1668157914000,NORMAL
29.0,0,36.277632,127.294398,24.49,1668157920000,NORMAL
29.0,0,36.276577,127.293530,24.44,1668157926000,NORMAL
29.0,0,36.275449,127.292651,26.44,1668157932000,NORMAL
29.0,0,36.274454,127.291885,26.03,1668157937000,NORMAL
29.0,0,36.273250,127.291211,25.00,1668157943000,NORMAL
29.0,0,36.272160,127.291008,26.08,1668157948000,NORMAL
29.0,0,36.271003,127.290891,27.16,1668157953000,NORMAL
29.0,0,36.269577,127.290748,26.91,1668157959000,NORMAL
29.0,0,36.268451,127.290498,25.05,1668157964000,NORMAL
29.0,0,36.267415,127.289564,24.69,1668157970000,NORMAL
29.0,0,36.266869,127.288397,25.16,1668157975000,NORMAL
29.0,0,36.266722,127.286790,24.54,1668157981000,NORMAL
29.0,0,36.266837,127.285233,24.13,1668157987000,NORMAL
29.0,0,36.266954,127.283634,24.80,1668157993000,NORMAL
29.0,0,36.267042,127.282311,23.87,1668157998000,NORMAL
29.0,0,36.267149,127.280806,23.41,1668158004000,NORMAL
29.0,0,36.267341,127.279550,24.23,1668158009000,NORMAL
29.0,0,36.267921,127.278160,24.85,1668158015000,NORMAL
29.0,0,36.268690,127.276838,24.38,1668158021000,NORMAL
29.0,0,36.269446,127.275578,23.41,1668158027000,NORMAL
29.0,0,36.270101,127.274617,22.53,1668158032000,NORMAL
29.0,0,36.270746,127.273752,20.53,1668158037000,NORMAL
29.0,0,36.271461,127.272816,19.50,1668158043000,NORMAL
29.0,0,36.272196,127.272273,20.58,1668158048000,NORMAL
29.0,0,36.273201,127.271931,18.26,1668158054000,NORMAL
29.0,0,36.274130,127.271586,19.34,1668158060000,NORMAL
29.0,0,36.275138,127.271233,19.81,1668158066000,NORMAL
29.0,0,36.275957,127.270956,17.85,1668158071000,NORMAL
29.0,0,36.276794,127.270668,16.15,1668158077000,NORMAL
29.0,0,36.277639,127.270380,17.23,1668158083000,NORMAL
29.0,0,36.278389,127.270128,18.62,1668158088000,NORMAL
29.0,0,36.279159,127.269868,17.54,1668158093000,NORMAL
29.0,0,36.280062,127.269587,18.78,1668158099000,NORMAL
29.0,0,36.281042,127.269366,18.26,1668158105000,NORMAL
29.0,0,36.281844,127.269257,17.39,1668158110000,NORMAL
29.0,0,36.282777,127.269207,18.73,1668158116000,NORMAL
29.0,0,36.283809,127.269243,20.99,1668158122000,NORMAL
29.0,0,36.284681,127.269345,18.42,1668158127000,NORMAL
29.0,0,36.285448,127.269499,18.06,1668158132000,NORMAL
29.0,0,36.286075,127.269656,18.83,1668158137000,NORMAL
29.0,0,36.287192,127.269956,17.85,1668158143000,NORMAL
29.0,0,36.287936,127.270155,16.87,1668158148000,NORMAL
29.0,0,36.288814,127.270399,17.44,1668158154000,NORMAL
29.0,0,36.289720,127.270601,18.37,1668158160000,NORMAL
29.0,0,36.290523,127.270722,17.80,1668158165000,NORMAL
29.0,0,36.291464,127.270782,17.70,1668158171000,NORMAL
29.0,0,36.292231,127.270775,17.75,1668158176000,NORMAL
29.0,0,36.293039,127.270709,19.29,1668158181000,NORMAL
29.0,0,36.293889,127.270574,19.70,1668158186000,NORMAL
