accuracy,id,lat,lng,speed,time,type
16.413,84775,36.485917,127.319807,5.9626102,1668142872351,START
14.059,84776,36.4859153,127.3196876,6.344675,1668142874000,NORMAL
9.986,84777,36.4859509,127.3195559,5.6757393,1668142876000,NORMAL
4.333,84778,36.4860091,127.3194485,7.297684,1668142878000,NORMAL
5.568,84779,36.486103,127.3193329,7.291221,1668142880000,NORMAL
14.505,84780,36.4858075,127.3196156,7.7043705,1668143199000,NORMAL
10.971,84781,36.4857577,127.3196795,7.4681735,1668143200000,NORMAL
8.143,84782,36.4857061,127.3198042,5.89845,1668143202000,NORMAL
4.229,84783,36.4856858,127.3199038,4.023284,1668143204000,NORMAL
3.9,84784,36.4856673,127.3199638,3.5455556,1668143206000,NORMAL
3.9,84785,36.4856078,127.3200511,5.188434,1668143208000,NORMAL
3.9,84786,36.4855103,127.3200945,5.5050964,1668143210000,NORMAL
3.9,84787,36.4853989,127.3200706,6.479892,1668143212000,NORMAL
3.9,84788,36.485303,127.3199648,7.0674996,1668143214000,NORMAL
3.9,84789,36.4852182,127.3198368,7.004185,1668143216000,NORMAL
3.9,84790,36.4851565,127.319742,4.764233,1668143218000,NORMAL
3.9,84791,36.4850947,127.3196667,5.3467836,1668143220000,NORMAL
3.9,84792,36.4850022,127.3195603,7.485999,1668143222000,NORMAL
3.9,84793,36.4848931,127.3194215,8.71742,1668143224000,NORMAL
3.9,84794,36.4847822,127.319256,9.808395,1668143226000,NORMAL
3.9,84795,36.4846717,127.3190731,9.915389,1668143228000,NORMAL
3.9,84796,36.4845781,127.3189105,8.598368,1668143230000,NORMAL
3.9,84797,36.4844942,127.3187416,9.232547,1668143232000,NORMAL
3.9,84798,36.4844008,127.3185537,9.748164,1668143234000,NORMAL
3.9,84799,36.4843102,127.3183449,10.118909,1668143236000,NORMAL
3.9,84800,36.4842229,127.3181613,9.685901,1668143238000,NORMAL
3.9,84801,36.4841307,127.3179812,9.861495,1668143240000,NORMAL
3.9,84802,36.484047,127.3177967,9.389118,1668143242000,NORMAL
3.9,84803,36.4839709,127.3176352,8.245718,1668143244000,NORMAL
3.863,84804,36.4838721,127.3175074,7.975974,1668143246000,NORMAL
3.863,84805,36.483732,127.3174421,8.305371,1668143248000,NORMAL
3.863,84806,36.4835612,127.3174491,9.62478,1668143250000,NORMAL
3.9,84807,36.4833756,127.3175085,10.663907,1668143252000,NORMAL
3.9,84808,36.4831827,127.3175855,11.473484,1668143254000,NORMAL
3.9,84809,36.4829892,127.317665,11.166223,1668143256000,NORMAL
3.9,84810,36.4828119,127.3177297,10.15041,1668143258000,NORMAL
3.9,84811,36.482646,127.3177757,9.17333,1668143260000,NORMAL
3.9,84812,36.4824775,127.3177839,9.525865,1668143262000,NORMAL
3.863,84813,36.4822963,127.3177396,10.254049,1668143264000,NORMAL
3.863,84814,36.4821269,127.3176253,10.782983,1668143266000,NORMAL
3.863,84815,36.4819895,127.3174255,12.081848,1668143268000,NORMAL
3.9,84816,36.4818909,127.3171457,13.679035,1668143270000,NORMAL
3.863,84817,36.4817969,127.3168245,15.34454,1668143272000,NORMAL
3.863,84818,36.4816907,127.3164912,15.817211,1668143274000,NORMAL
3.863,84819,36.4815854,127.3161627,15.343154,1668143276000,NORMAL
3.9,84820,36.4815004,127.3158463,14.663682,1668143278000,NORMAL
3.9,84821,36.4814258,127.3155389,14.553642,1668143280000,NORMAL
3.9,84822,36.4813469,127.3152277,14.915809,1668143282000,NORMAL
3.9,84823,36.4812622,127.3149039,15.30903,1668143284000,NORMAL
3.9,84824,36.4811711,127.3145669,16.016165,1668143286000,NORMAL
3.9,84825,36.4810748,127.3142145,16.686977,1668143288000,NORMAL
3.9,84826,36.480978,127.3138439,17.164297,1668143290000,NORMAL
3.9,84827,36.4809042,127.3134805,17.49793,1668143292000,NORMAL
3.9,84828,36.4808106,127.3131003,17.986368,1668143294000,NORMAL
3.9,84829,36.4807159,127.3127113,18.398582,1668143296000,NORMAL
3.9,84830,36.4806373,127.3123008,18.940498,1668143298000,NORMAL
3.9,84831,36.4805609,127.3118811,19.345142,1668143300000,NORMAL
3.9,84832,36.4804937,127.3114466,19.925669,1668143302000,NORMAL
3.9,84833,36.4804321,127.3109972,20.49223,1668143304000,NORMAL
3.9,84834,36.4803726,127.3105325,21.28427,1668143306000,NORMAL
3.9,84835,36.4803142,127.3100519,21.580055,1668143308000,NORMAL
3.9,84836,36.4802633,127.3095721,21.706242,1668143310000,NORMAL
3.9,84837,36.4802112,127.3090877,21.844759,1668143312000,NORMAL
3.9,84838,36.4801603,127.30861,21.52063,1668143314000,NORMAL
5.311,84839,36.4799711,127.3071499,22.061316,1668143320000,NORMAL
4.55,84840,36.4799568,127.3069103,21.810635,1668143321000,NORMAL
4.333,84841,36.4799056,127.306421,21.724865,1668143323000,NORMAL
4.225,84842,36.4798561,127.3059387,21.574654,1668143325000,NORMAL
3.863,84843,36.4798158,127.3054654,21.695644,1668143327000,NORMAL
3.863,84844,36.4797597,127.3049887,21.612139,1668143329000,NORMAL
3.826,84845,36.4797028,127.3045057,22.251053,1668143331000,NORMAL
3.826,84846,36.4796452,127.304016,22.14363,1668143333000,NORMAL
3.826,84847,36.4795942,127.3035465,21.265097,1668143335000,NORMAL
3.863,84848,36.4795335,127.3030804,21.50189,1668143337000,NORMAL
3.9,84849,36.4794589,127.3025993,21.728191,1668143339000,NORMAL
3.9,84850,36.4793705,127.3021269,21.916224,1668143341000,NORMAL
3.9,84851,36.479275,127.3016527,22.185926,1668143343000,NORMAL
3.9,84852,36.479163,127.3011767,22.263872,1668143345000,NORMAL
3.9,84853,36.4790306,127.3007008,22.780787,1668143347000,NORMAL
3.863,84854,36.4788832,127.3002272,23.06865,1668143349000,NORMAL
3.863,84855,36.4787197,127.2997506,23.179478,1668143351000,NORMAL
3.863,84856,36.478537,127.2992825,23.203497,1668143353000,NORMAL
3.9,84857,36.4783502,127.2988312,22.48792,1668143355000,NORMAL
3.9,84858,36.4781558,127.2984036,21.61217,1668143357000,NORMAL
3.9,84859,36.4779499,127.2979758,22.386408,1668143359000,NORMAL
3.9,84860,36.4777344,127.2975603,21.994984,1668143361000,NORMAL
3.9,84861,36.4775043,127.2971464,22.37459,1668143363000,NORMAL
3.9,84862,36.4772668,127.2967556,21.453121,1668143365000,NORMAL
4.075,84863,36.4770295,127.2963866,21.216429,1668143367000,NORMAL
5.548,84864,36.4762953,127.2953197,18.73636,1668143373000,NORMAL
4.669,84865,36.4761842,127.2951698,18.130571,1668143374000,NORMAL
4.412,84866,36.4759757,127.2948696,17.387285,1668143376000,NORMAL
3.863,84867,36.4757871,127.2945708,17.239822,1668143378000,NORMAL
3.9,84868,36.4756175,127.2942501,17.430561,1668143380000,NORMAL
3.9,84869,36.4754559,127.2939038,17.815102,1668143382000,NORMAL
3.9,84870,36.4753023,127.2935442,18.050192,1668143384000,NORMAL
3.9,84871,36.475166,127.2931846,17.272507,1668143386000,NORMAL
3.9,84872,36.4750532,127.2928342,16.764065,1668143388000,NORMAL
3.9,84873,36.4749571,127.292479,17.117659,1668143390000,NORMAL
3.9,84874,36.4748712,127.2921154,16.743416,1668143392000,NORMAL
3.9,84875,36.4748067,127.2917703,15.927639,1668143394000,NORMAL
3.9,84876,36.4747535,127.291424,16.160868,1668143396000,NORMAL
3.9,84877,36.4747058,127.2910583,16.92851,1668143398000,NORMAL
3.9,84878,36.4746597,127.2906638,18.128643,1668143400000,NORMAL
3.863,84879,36.474609,127.2902446,19.102896,1668143402000,NORMAL
3.863,84880,36.4745469,127.2898029,20.266344,1668143404000,NORMAL
3.863,84881,36.4744474,127.2893487,20.91293,1668143406000,NORMAL
3.9,84882,36.4743201,127.2889,21.315779,1668143408000,NORMAL
3.9,84883,36.4741725,127.2884559,21.832916,1668143410000,NORMAL
3.9,84884,36.4740041,127.288016,21.788248,1668143412000,NORMAL
3.9,84885,36.4738069,127.2876016,21.431028,1668143414000,NORMAL
3.9,84886,36.4735911,127.2872105,21.002409,1668143416000,NORMAL
3.9,84887,36.4733671,127.2868766,19.077108,1668143418000,NORMAL
3.9,84888,36.4731474,127.2865739,18.46952,1668143420000,NORMAL
3.9,84889,36.4729207,127.2862811,18.242382,1668143422000,NORMAL
3.9,84890,36.4726827,127.2860005,18.345654,1668143424000,NORMAL
3.9,84891,36.4724288,127.2857432,17.904837,1668143426000,NORMAL
3.9,84892,36.4721715,127.28551,16.910236,1668143428000,NORMAL
3.9,84893,36.4719132,127.2852744,17.685307,1668143430000,NORMAL
3.9,84894,36.4716489,127.2850084,18.348919,1668143432000,NORMAL
3.9,84895,36.4713939,127.2847061,19.7135,1668143434000,NORMAL
3.9,84896,36.4711285,127.2843757,20.737188,1668143436000,NORMAL
3.863,84897,36.4708914,127.2840336,20.499445,1668143438000,NORMAL
