accuracy,id,lat,lng,speed,time,type
18.553,6022,36.4917578,127.2461094,5.6676903,1668222012000,START
7.026,6023,36.4914937,127.2462239,7.8062286,1668222015000,NORMAL
6.422,6024,36.491433,127.2462583,7.9370027,1668222016000,NORMAL
4.282,6025,36.4912955,127.24633,8.592599,1668222018000,NORMAL
4.248,6026,36.4912215,127.2463563,8.868635,1668222019000,NORMAL
4.139,6027,36.4910525,127.2464234,9.762261,1668222021000,NORMAL
4.282,6028,36.4909618,127.2464563,9.789017,1668222022000,NORMAL
4.528,6029,36.4907875,127.2465212,9.287931,1668222024000,NORMAL
4.537,6030,36.4907069,127.2465431,8.595288,1668222025000,NORMAL
4.501,6031,36.490562,127.2465798,7.752518,1668222027000,NORMAL
4.446,6032,36.4904959,127.2466017,7.3631,1668222028000,NORMAL
4.183,6033,36.4903742,127.2466653,6.891172,1668222030000,NORMAL
4.01,6034,36.4903138,127.246687,7.133747,1668222031000,NORMAL
3.942,6035,36.4901948,127.2466982,6.544301,1668222033000,NORMAL
3.991,6036,36.4901356,127.2466889,6.62355,1668222034000,NORMAL
4.085,6037,36.4900266,127.2465172,9.037649,1668222036000,NORMAL
4.195,6038,36.4900031,127.2464282,8.811571,1668222037000,NORMAL
5.141,6039,36.4899504,127.2462405,9.336645,1668222039000,NORMAL
5.446,6040,36.4899082,127.2461426,10.751123,1668222040000,NORMAL
7.461,6041,36.489838,127.2459065,11.467896,1668222042000,NORMAL
7.416,6042,36.489805,127.2457783,12.087818,1668222043000,NORMAL
7.248,6043,36.4897296,127.2455085,12.87371,1668222045000,NORMAL
5.934,6044,36.4897031,127.2453685,12.866451,1668222046000,NORMAL
5.82,6045,36.4896348,127.245099,12.808654,1668222048000,NORMAL
5.691,6046,36.4896023,127.2449571,13.039915,1668222049000,NORMAL
5.541,6047,36.4895372,127.2446872,12.008241,1668222051000,NORMAL
5.096,6048,36.4894898,127.2445628,11.325244,1668222052000,NORMAL
4.903,6049,36.4894207,127.2443583,8.297779,1668222054000,NORMAL
4.864,6050,36.4894017,127.2442843,6.363825,1668222055000,NORMAL
5.323,6051,36.4893774,127.2441196,7.637588,1668222057000,NORMAL
5.462,6052,36.4893675,127.2440495,6.069534,1668222058000,NORMAL
5.478,6053,36.4893307,127.2439148,6.302116,1668222060000,NORMAL
5.337,6054,36.489314,127.2438424,7.020351,1668222061000,NORMAL
4.429,6055,36.4892817,127.2436874,7.0790935,1668222063000,NORMAL
4.27,6056,36.4892803,127.2436104,6.9400387,1668222064000,NORMAL
