accuracy,id,lat,lng,speed,time,type
19.437,78639,36.4427128,127.4281968,8.058195,1668249928000,START
15.553,78640,36.4426161,127.4283037,9.766282,1668249930000,NORMAL
6.344,78641,36.4424852,127.4284492,9.40868,1668249932000,NORMAL
3.863,78642,36.4423338,127.4285667,9.496117,1668249934000,NORMAL
3.826,78643,36.4422243,127.4285164,8.256134,1668249936000,NORMAL
3.863,78644,36.4420776,127.4284486,10.015317,1668249938000,NORMAL
3.863,78645,36.4418828,127.4283954,11.923548,1668249940000,NORMAL
3.9,78646,36.4416547,127.4283596,13.908674,1668249942000,NORMAL
3.9,78647,36.4413999,127.4282988,15.020397,1668249944000,NORMAL
3.863,78648,36.441136,127.4282229,14.504594,1668249946000,NORMAL
3.863,78649,36.4408933,127.4281591,12.979804,1668249948000,NORMAL
3.863,78650,36.4406735,127.4281006,11.800811,1668249950000,NORMAL
3.9,78651,36.4404717,127.4280723,10.565571,1668249952000,NORMAL
3.9,78652,36.4403041,127.4281218,8.323355,1668249954000,NORMAL
3.952,78653,36.4401949,127.4282016,6.366085,1668249956000,NORMAL
3.952,78654,36.4402302,127.4281955,1.0459478,1668249958000,NORMAL
3.952,78655,36.4402493,127.4281804,0.77609426,1668249960000,NORMAL
3.9,78656,36.4402546,127.4282545,6.5170074,1668249962000,NORMAL
3.863,78657,36.4403315,127.4283967,10.753978,1668249964000,NORMAL
3.863,78658,36.4405015,127.428555,11.95341,1668249966000,NORMAL
3.863,78659,36.4406786,127.4286934,9.851926,1668249968000,NORMAL
3.9,78660,36.4408451,127.4288116,10.909033,1668249970000,NORMAL
3.9,78661,36.4410616,127.428929,14.308965,1668249972000,NORMAL
3.9,78662,36.4413125,127.4290537,15.219746,1668249974000,NORMAL
3.9,78663,36.4415476,127.429233,14.751194,1668249976000,NORMAL
3.9,78664,36.4417337,127.4294323,12.7517185,1668249978000,NORMAL
3.9,78665,36.441937,127.4295582,13.287851,1668249980000,NORMAL
3.9,78666,36.4421843,127.4295677,15.308642,1668249982000,NORMAL
3.9,78667,36.4424717,127.4294847,17.78818,1668249984000,NORMAL
3.9,78668,36.4427661,127.4293789,15.88303,1668249986000,NORMAL
3.9,78669,36.4430541,127.4293379,16.258825,1668249988000,NORMAL
3.863,78670,36.4433392,127.4293657,14.91133,1668249990000,NORMAL
3.863,78671,36.4435942,127.4294081,13.140853,1668249992000,NORMAL
3.863,78672,36.4438371,127.4294419,13.619863,1668249994000,NORMAL
3.863,78673,36.4440772,127.4294874,12.9607,1668249996000,NORMAL
3.863,78674,36.4443013,127.4295343,12.490086,1668249998000,NORMAL
3.863,78675,36.4445199,127.4295675,11.890253,1668250000000,NORMAL
3.9,78676,36.4447281,127.4295965,11.720114,1668250002000,NORMAL
3.9,78677,36.4449384,127.4296199,11.889557,1668250004000,NORMAL
3.863,78678,36.445157,127.4296375,12.598476,1668250006000,NORMAL
3.863,78679,36.4453849,127.4296545,12.765063,1668250008000,NORMAL
3.826,78680,36.4456194,127.4296684,13.119676,1668250010000,NORMAL
3.863,78681,36.4458569,127.4296952,13.469447,1668250012000,NORMAL
3.863,78682,36.4460999,127.4297127,13.370166,1668250014000,NORMAL
3.863,78683,36.4463458,127.4297127,13.3799925,1668250016000,NORMAL
3.863,78684,36.4465807,127.4297134,11.821521,1668250018000,NORMAL
3.863,78685,36.4467757,127.4297141,9.46816,1668250020000,NORMAL
3.9,78686,36.4469185,127.4297149,5.4560003,1668250022000,NORMAL
3.9,78687,36.446981,127.4297165,0.80578786,1668250024000,NORMAL
3.863,78688,36.4469821,127.4297252,0.801867,1668250026000,NORMAL
3.863,78689,36.4469813,127.429731,0.23707354,1668250028000,NORMAL
5.144,78690,36.4469821,127.4297326,0.08641111,1668250029703,NORMAL
5.172,78691,36.4469841,127.4297337,0.12856202,1668250032000,NORMAL
