accuracy,id,lat,lng,speed,time,type
24.3,0,36.330106,127.379304,4.53,1668235387000,START
24.3,0,36.330014,127.379225,2.00,1668235393000,NORMAL
24.3,0,36.329944,127.379155,2.91,1668235398000,NORMAL
24.3,0,36.330187,127.378707,7.32,1668235404000,NORMAL
24.3,0,36.330388,127.378361,7.90,1668235409000,NORMAL
24.3,0,36.330613,127.377969,9.25,1668235414000,NORMAL
24.3,0,36.330902,127.377474,8.36,1668235420000,NORMAL
24.3,0,36.331098,127.377123,4.38,1668235426000,NORMAL
24.3,0,36.331134,127.377052,0.00,1668235431000,STOP
24.3,0,36.331152,127.377022,2.71,1668235496000,NORMAL
24.3,0,36.331389,127.376598,10.66,1668235502000,NORMAL
24.3,0,36.331704,127.376036,13.07,1668235507000,NORMAL
24.3,0,36.332067,127.375401,10.13,1668235513000,NORMAL
24.3,0,36.332247,127.375083,1.71,1668235519000,NORMAL
24.3,0,36.332266,127.375049,0.00,1668235525000,STOP
24.3,0,36.332412,127.374793,7.17,1668235530000,NORMAL
24.3,0,36.332654,127.374362,10.69,1668235535000,NORMAL
24.3,0,36.332989,127.373778,10.40,1668235541000,NORMAL
24.3,0,36.333280,127.373260,9.28,1668235547000,NORMAL
24.3,0,36.333526,127.372806,6.76,1668235553000,NORMAL
24.3,0,36.333580,127.372702,0.00,1668235558000,STOP
24.3,0,36.333640,127.372584,4.46,1668235596000,NORMAL
24.3,0,36.333857,127.372180,8.30,1668235602000,NORMAL
24.3,0,36.334037,127.371711,10.12,1668235607000,NORMAL
24.3,0,36.334213,127.371038,10.03,1668235613000,NORMAL
24.3,0,36.334315,127.370642,2.95,1668235618000,NORMAL
24.3,0,36.334333,127.370567,3.61,1668235624000,NORMAL
24.3,0,36.334429,127.370194,6.81,1668235630000,NORMAL
24.3,0,36.334490,127.369728,8.75,1668235635000,NORMAL
24.3,0,36.334504,127.369103,10.03,1668235641000,NORMAL
24.3,0,36.334479,127.368512,10.48,1668235646000,NORMAL
24.3,0,36.334459,127.367784,11.58,1668235652000,NORMAL
24.3,0,36.334464,127.366813,16.10,1668235658000,NORMAL
24.3,0,36.334428,127.365895,16.66,1668235663000,NORMAL
24.3,0,36.334360,127.364816,15.86,1668235669000,NORMAL
24.3,0,36.334293,127.363947,15.66,1668235674000,NORMAL
26.1,0,36.334181,127.362661,0.00,1668235681000,STOP
24.3,0,36.332272,127.356090,14.20,1668235717000,NORMAL
24.3,0,36.332272,127.355398,11.79,1668235722000,NORMAL
