accuracy,id,lat,lng,speed,time,type
25.4,0,36.496457,127.263431,11.03,1668419807000,START
23.0,0,36.495088,127.262788,13.66,1668419819000,NORMAL
23.9,0,36.493772,127.262521,14.82,1668419830000,NORMAL
21.8,0,36.493101,127.262518,14.74,1668419835000,NORMAL
9.0,0,36.492439,127.262549,14.30,1668419840000,NORMAL
8.7,0,36.491669,127.262633,14.25,1668419846000,NORMAL
8.6,0,36.491082,127.262763,13.04,1668419851000,NORMAL
8.4,0,36.490432,127.262917,11.51,1668419857000,NORMAL
8.8,0,36.489970,127.263075,10.08,1668419862000,NORMAL
9.0,0,36.489509,127.263267,8.34,1668419868000,NORMAL
8.9,0,36.489161,127.263434,5.48,1668419874000,NORMAL
8.7,0,36.489134,127.263448,0.00,1668419879000,STOP
7.9,0,36.489059,127.263531,1.84,1668419935000,NORMAL
7.8,0,36.488733,127.263675,7.37,1668419941000,NORMAL
7.8,0,36.488418,127.263865,7.37,1668419946000,NORMAL
7.7,0,36.487997,127.264139,10.13,1668419952000,NORMAL
7.6,0,36.487589,127.264449,10.73,1668419957000,NORMAL
7.7,0,36.487146,127.264830,12.04,1668419962000,NORMAL
7.8,0,36.486653,127.265177,12.72,1668419967000,NORMAL
7.9,0,36.486184,127.265493,11.72,1668419972000,NORMAL
8.0,0,36.485707,127.265820,12.72,1668419977000,NORMAL
8.1,0,36.485178,127.266197,10.52,1668419983000,NORMAL
8.1,0,36.484697,127.266524,10.86,1668419989000,NORMAL
8.1,0,36.484137,127.266936,13.12,1668419995000,NORMAL
8.1,0,36.483586,127.267333,14.39,1668420000000,NORMAL
8.1,0,36.482913,127.267826,14.56,1668420006000,NORMAL
8.1,0,36.482329,127.268228,14.78,1668420011000,NORMAL
8.1,0,36.481652,127.268615,13.09,1668420017000,NORMAL
8.1,0,36.481144,127.268915,12.21,1668420022000,NORMAL
8.1,0,36.480500,127.269291,14.31,1668420028000,NORMAL
8.1,0,36.479755,127.269722,15.27,1668420034000,NORMAL
8.1,0,36.479023,127.270161,15.30,1668420040000,NORMAL
8.1,0,36.478382,127.270546,16.16,1668420045000,NORMAL
8.1,0,36.477578,127.271030,16.20,1668420051000,NORMAL
8.1,0,36.476827,127.271472,14.98,1668420057000,NORMAL
8.2,0,36.476206,127.271846,15.03,1668420062000,NORMAL
8.2,0,36.475547,127.272242,12.63,1668420068000,NORMAL
8.2,0,36.474994,127.272576,10.76,1668420074000,NORMAL
8.2,0,36.474658,127.272779,6.59,1668420079000,NORMAL
8.2,0,36.474557,127.272840,0.00,1668420085000,STOP
8.2,0,36.474499,127.272869,3.58,1668420131000,NORMAL
8.1,0,36.474136,127.273098,9.44,1668420137000,NORMAL
8.1,0,36.473716,127.273356,10.44,1668420142000,NORMAL
8.1,0,36.473259,127.273620,11.52,1668420147000,NORMAL
8.1,0,36.472761,127.273909,12.11,1668420152000,NORMAL
8.1,0,36.472307,127.274151,10.01,1668420157000,NORMAL
8.1,0,36.471910,127.274321,6.58,1668420163000,NORMAL
8.0,0,36.471442,127.274491,10.56,1668420169000,NORMAL
8.0,0,36.470760,127.274659,13.30,1668420175000,NORMAL
8.0,0,36.470138,127.274725,13.96,1668420180000,NORMAL
8.1,0,36.469379,127.274773,13.37,1668420186000,NORMAL
8.1,0,36.468828,127.274809,11.95,1668420191000,NORMAL
8.1,0,36.468206,127.274886,12.30,1668420197000,NORMAL
8.1,0,36.467594,127.274941,14.60,1668420202000,NORMAL
8.1,0,36.466884,127.275040,16.63,1668420207000,NORMAL
8.1,0,36.465948,127.275156,17.99,1668420213000,NORMAL
8.1,0,36.465134,127.275258,18.49,1668420218000,NORMAL
8.1,0,36.464298,127.275427,19.16,1668420223000,NORMAL
8.1,0,36.463501,127.275790,18.45,1668420228000,NORMAL
8.1,0,36.462572,127.276411,20.23,1668420234000,NORMAL
8.1,0,36.461836,127.277094,19.80,1668420239000,NORMAL
8.1,0,36.461015,127.277949,20.29,1668420245000,NORMAL
8.1,0,36.460296,127.278704,21.44,1668420250000,NORMAL
8.1,0,36.459385,127.279648,22.35,1668420256000,NORMAL
8.1,0,36.458471,127.280588,21.98,1668420262000,NORMAL
8.0,0,36.457562,127.281520,21.59,1668420268000,NORMAL
8.0,0,36.456619,127.282354,21.11,1668420274000,NORMAL
8.0,0,36.455799,127.282992,21.28,1668420279000,NORMAL
8.0,0,36.454782,127.283676,21.36,1668420285000,NORMAL
8.1,0,36.453768,127.284251,20.75,1668420291000,NORMAL
8.1,0,36.452686,127.284760,22.09,1668420297000,NORMAL
8.1,0,36.451742,127.285119,21.30,1668420302000,NORMAL
8.0,0,36.450676,127.285438,19.42,1668420308000,NORMAL
8.0,0,36.449663,127.285650,18.91,1668420314000,NORMAL
8.0,0,36.448645,127.285761,18.98,1668420320000,NORMAL
8.0,0,36.447778,127.285803,19.36,1668420325000,NORMAL
8.0,0,36.446913,127.285808,19.31,1668420330000,NORMAL
8.1,0,36.445860,127.285816,19.76,1668420336000,NORMAL
8.1,0,36.444942,127.285829,20.62,1668420341000,NORMAL
8.1,0,36.443892,127.285836,18.73,1668420347000,NORMAL
8.1,0,36.442906,127.285844,18.38,1668420353000,NORMAL
8.1,0,36.442063,127.285850,18.90,1668420358000,NORMAL
8.1,0,36.441012,127.285872,19.94,1668420364000,NORMAL
8.1,0,36.440095,127.285880,20.61,1668420369000,NORMAL
8.1,0,36.439149,127.285890,21.08,1668420374000,NORMAL
8.1,0,36.438018,127.285910,20.64,1668420380000,NORMAL
8.1,0,36.436913,127.285922,20.31,1668420386000,NORMAL
8.1,0,36.436011,127.285940,19.81,1668420391000,NORMAL
8.1,0,36.435143,127.285952,19.40,1668420396000,NORMAL
8.1,0,36.434256,127.285995,20.12,1668420401000,NORMAL
8.1,0,36.433154,127.286123,20.36,1668420407000,NORMAL
8.0,0,36.432044,127.286386,21.24,1668420413000,NORMAL
8.0,0,36.431125,127.286789,21.86,1668420418000,NORMAL
8.0,0,36.430216,127.287319,22.38,1668420423000,NORMAL
8.0,0,36.429168,127.288145,22.73,1668420429000,NORMAL
8.0,0,36.428372,127.288954,22.85,1668420434000,NORMAL
8.0,0,36.427499,127.290020,22.81,1668420440000,NORMAL
8.0,0,36.426819,127.290938,21.79,1668420445000,NORMAL
8.1,0,36.426044,127.291993,20.95,1668420451000,NORMAL
8.1,0,36.425276,127.293028,20.89,1668420457000,NORMAL
8.0,0,36.424651,127.293868,19.95,1668420462000,NORMAL
8.0,0,36.423926,127.294844,19.96,1668420468000,NORMAL
8.0,0,36.423321,127.295689,20.40,1668420473000,NORMAL
8.0,0,36.422524,127.296701,21.71,1668420479000,NORMAL
8.0,0,36.421558,127.297643,23.53,1668420485000,NORMAL
8.0,0,36.420381,127.298408,25.45,1668420491000,NORMAL
8.0,0,36.419335,127.298861,24.92,1668420496000,NORMAL
8.1,0,36.418229,127.299113,24.17,1668420501000,NORMAL
8.1,0,36.417177,127.299245,22.79,1668420506000,NORMAL
8.1,0,36.416016,127.299425,20.75,1668420512000,NORMAL
8.1,0,36.415093,127.299626,20.76,1668420517000,NORMAL
8.1,0,36.414042,127.299902,19.06,1668420523000,NORMAL
8.1,0,36.413055,127.300223,19.15,1668420529000,NORMAL
8.1,0,36.412042,127.300597,19.99,1668420535000,NORMAL
8.0,0,36.411165,127.300962,20.79,1668420540000,NORMAL
8.1,0,36.410076,127.301443,21.81,1668420546000,NORMAL
8.1,0,36.409150,127.301940,22.62,1668420551000,NORMAL
8.1,0,36.408226,127.302477,22.93,1668420556000,NORMAL
8.1,0,36.407109,127.303210,23.50,1668420562000,NORMAL
8.2,0,36.405977,127.304039,24.60,1668420568000,NORMAL
8.2,0,36.405022,127.304807,25.71,1668420573000,NORMAL
8.1,0,36.403906,127.305799,24.37,1668420579000,NORMAL
8.1,0,36.403061,127.306566,23.36,1668420584000,NORMAL
8.1,0,36.402213,127.307312,22.72,1668420589000,NORMAL
8.2,0,36.401263,127.308175,21.42,1668420595000,NORMAL
8.2,0,36.400395,127.308952,18.70,1668420601000,NORMAL
8.2,0,36.399725,127.309502,17.30,1668420606000,NORMAL
24.3,0,36.398936,127.310010,15.92,1668420612000,NORMAL
24.3,0,36.398313,127.310359,14.86,1668420617000,NORMAL
24.3,0,36.397659,127.310730,10.06,1668420623000,NORMAL
24.3,0,36.397389,127.310874,3.93,1668420628000,NORMAL
24.3,0,36.397167,127.311000,7.71,1668420633000,NORMAL
24.3,0,36.396748,127.311239,10.88,1668420638000,NORMAL
24.3,0,36.396147,127.311594,12.90,1668420644000,NORMAL
24.3,0,36.395625,127.311966,14.39,1668420649000,NORMAL
24.3,0,36.394860,127.312505,17.11,1668420655000,NORMAL
