accuracy,id,lat,lng,speed,time,type
8.0,0,36.497933,127.330220,8.86,1668416670000,START
8.0,0,36.497758,127.330466,2.99,1668416675000,NORMAL
7.9,0,36.497729,127.330496,0.00,1668416681000,STOP
7.9,0,36.497521,127.330475,6.54,1668416687000,NORMAL
7.7,0,36.497055,127.330040,12.17,1668416693000,NORMAL
7.8,0,36.496606,127.329622,12.00,1668416698000,NORMAL
7.8,0,36.496207,127.329256,10.53,1668416703000,NORMAL
7.8,0,36.495717,127.328787,12.06,1668416709000,NORMAL
7.9,0,36.495256,127.328220,11.80,1668416715000,NORMAL
7.8,0,36.494894,127.327600,11.57,1668416721000,NORMAL
8.0,0,36.494673,127.327014,11.55,1668416726000,NORMAL
7.9,0,36.494481,127.326331,8.89,1668416732000,NORMAL
7.9,0,36.494489,127.325984,2.98,1668416737000,NORMAL
7.9,0,36.494494,127.325883,1.81,1668416742000,NORMAL
8.0,0,36.494497,127.325747,1.63,1668416748000,NORMAL
7.9,0,36.494589,127.325481,4.74,1668416754000,NORMAL
7.9,0,36.494300,127.325378,7.50,1668416760000,NORMAL
7.8,0,36.493920,127.325406,9.64,1668416765000,NORMAL
7.9,0,36.493439,127.325330,10.97,1668416770000,NORMAL
7.8,0,36.492990,127.325264,6.27,1668416776000,NORMAL
7.8,0,36.492884,127.325194,0.00,1668416782000,STOP
7.7,0,36.492838,127.325137,2.59,1668416787000,NORMAL
7.6,0,36.492668,127.325062,3.99,1668416792000,NORMAL
15.5,0,36.492567,127.325422,7.51,1668416798000,NORMAL
7.9,0,36.492503,127.326043,11.63,1668416804000,NORMAL
7.8,0,36.492296,127.326780,13.21,1668416809000,NORMAL
7.3,0,36.492131,127.327531,10.47,1668416815000,NORMAL
7.5,0,36.491892,127.328012,7.47,1668416821000,NORMAL
7.6,0,36.491494,127.327895,10.96,1668416826000,NORMAL
7.9,0,36.490894,127.327651,15.94,1668416831000,NORMAL
7.9,0,36.490085,127.327055,19.04,1668416837000,NORMAL
7.9,0,36.489181,127.326386,20.07,1668416843000,NORMAL
8.0,0,36.488297,127.325737,19.01,1668416849000,NORMAL
8.2,0,36.487330,127.325006,22.24,1668416855000,NORMAL
7.9,0,36.486379,127.324310,24.77,1668416860000,NORMAL
7.8,0,36.485398,127.323603,24.84,1668416865000,NORMAL
7.8,0,36.484343,127.322792,22.27,1668416871000,NORMAL
7.8,0,36.483571,127.321980,21.81,1668416876000,NORMAL
7.8,0,36.482796,127.320759,21.78,1668416882000,NORMAL
7.8,0,36.482253,127.319376,23.88,1668416888000,NORMAL
7.8,0,36.481909,127.318089,23.95,1668416893000,NORMAL
7.5,0,36.481560,127.316680,20.75,1668416899000,NORMAL
7.9,0,36.481331,127.315653,18.79,1668416904000,NORMAL
7.8,0,36.481056,127.314464,18.23,1668416910000,NORMAL
7.7,0,36.480840,127.313466,18.61,1668416915000,NORMAL
7.8,0,36.480630,127.312114,21.43,1668416921000,NORMAL
7.9,0,36.480405,127.310621,23.63,1668416927000,NORMAL
7.9,0,36.480236,127.309243,25.73,1668416932000,NORMAL
9.4,0,36.480040,127.307510,26.22,1668416938000,NORMAL
13.8,0,36.479857,127.305815,24.83,1668416944000,NORMAL
12.2,0,36.479717,127.304521,23.30,1668416949000,NORMAL
10.8,0,36.479604,127.303248,21.50,1668416954000,NORMAL
10.2,0,36.479378,127.301876,20.67,1668416960000,NORMAL
9.5,0,36.479013,127.300510,21.41,1668416966000,NORMAL
8.3,0,36.478688,127.299444,19.38,1668416971000,NORMAL
8.6,0,36.478383,127.298585,15.83,1668416976000,NORMAL
9.3,0,36.477988,127.297698,16.49,1668416982000,NORMAL
9.8,0,36.477468,127.296870,18.90,1668416987000,NORMAL
14.8,0,36.476755,127.295922,17.96,1668416993000,NORMAL
21.4,0,36.475811,127.294599,14.53,1668417003000,NORMAL
15.1,0,36.475371,127.293613,16.49,1668417009000,NORMAL
11.7,0,36.475048,127.292703,16.90,1668417014000,NORMAL
11.1,0,36.474827,127.291588,15.83,1668417020000,NORMAL
9.7,0,36.474720,127.290789,14.44,1668417025000,NORMAL
8.7,0,36.474581,127.289774,15.62,1668417031000,NORMAL
8.4,0,36.474328,127.288768,15.20,1668417037000,NORMAL
8.3,0,36.474022,127.287966,15.90,1668417042000,NORMAL
8.7,0,36.473644,127.287198,15.80,1668417047000,NORMAL
7.8,0,36.473100,127.286417,15.28,1668417053000,NORMAL
7.7,0,36.472540,127.285736,13.26,1668417059000,NORMAL
8.8,0,36.472041,127.285250,11.33,1668417065000,NORMAL
9.3,0,36.471571,127.284809,13.08,1668417070000,NORMAL
9.9,0,36.471165,127.284217,13.77,1668417075000,NORMAL
9.5,0,36.470677,127.283475,14.05,1668417081000,NORMAL
9.8,0,36.470329,127.282753,15.17,1668417086000,NORMAL
14.0,0,36.470032,127.281941,16.85,1668417091000,NORMAL
18.6,0,36.469279,127.280083,14.14,1668417102000,NORMAL
11.4,0,36.469028,127.279422,10.71,1668417108000,NORMAL
9.1,0,36.468845,127.278876,8.60,1668417114000,NORMAL
8.9,0,36.468667,127.278295,11.94,1668417119000,NORMAL
9.4,0,36.468430,127.277575,13.82,1668417124000,NORMAL
9.3,0,36.468119,127.276668,11.94,1668417130000,NORMAL
9.3,0,36.468010,127.276288,3.07,1668417136000,NORMAL
8.8,0,36.467975,127.276165,0.00,1668417142000,STOP
8.2,0,36.467902,127.275919,3.20,1668417165000,NORMAL
8.2,0,36.467889,127.275923,2.87,1668417171000,NORMAL
8.2,0,36.467882,127.275935,2.53,1668417176000,NORMAL
8.2,0,36.467906,127.275975,0.00,1668417182000,STOP
8.2,0,36.467870,127.276006,2.67,1668417210000,NORMAL
8.1,0,36.467803,127.275871,3.73,1668417215000,NORMAL
8.1,0,36.467694,127.275559,7.39,1668417220000,NORMAL
8.1,0,36.467500,127.275191,9.43,1668417225000,NORMAL
8.1,0,36.467019,127.274983,11.09,1668417231000,NORMAL
8.1,0,36.466401,127.275103,16.56,1668417236000,NORMAL
8.1,0,36.465397,127.275224,19.39,1668417242000,NORMAL
8.1,0,36.464312,127.275432,21.28,1668417248000,NORMAL
8.1,0,36.463178,127.275984,23.05,1668417254000,NORMAL
8.1,0,36.462272,127.276684,23.59,1668417259000,NORMAL
8.0,0,36.461443,127.277512,23.90,1668417264000,NORMAL
8.0,0,36.460430,127.278561,24.56,1668417270000,NORMAL
8.0,0,36.459586,127.279409,24.24,1668417275000,NORMAL
7.9,0,36.458584,127.280403,23.61,1668417281000,NORMAL
8.0,0,36.457561,127.281459,25.29,1668417287000,NORMAL
7.9,0,36.456595,127.282315,27.24,1668417292000,NORMAL
7.9,0,36.455529,127.283177,28.69,1668417297000,NORMAL
8.0,0,36.454440,127.283879,26.21,1668417302000,NORMAL
8.0,0,36.453448,127.284435,23.53,1668417307000,NORMAL
8.0,0,36.452311,127.284932,21.93,1668417313000,NORMAL
7.9,0,36.451396,127.285244,20.23,1668417318000,NORMAL
7.9,0,36.450310,127.285524,21.22,1668417324000,NORMAL
7.8,0,36.449353,127.285676,21.38,1668417329000,NORMAL
7.8,0,36.448371,127.285768,21.29,1668417334000,NORMAL
7.9,0,36.447220,127.285808,21.95,1668417340000,NORMAL
7.9,0,36.446199,127.285826,23.01,1668417345000,NORMAL
8.0,0,36.444869,127.285844,25.62,1668417351000,NORMAL
8.0,0,36.443458,127.285868,25.98,1668417357000,NORMAL
8.0,0,36.442348,127.285879,24.12,1668417362000,NORMAL
8.1,0,36.441001,127.285899,25.58,1668417368000,NORMAL
8.1,0,36.439825,127.285911,26.20,1668417373000,NORMAL
8.1,0,36.438698,127.285935,23.81,1668417378000,NORMAL
8.0,0,36.437492,127.285946,20.95,1668417384000,NORMAL
7.9,0,36.436561,127.285951,20.92,1668417389000,NORMAL
8.0,0,36.435597,127.285961,21.04,1668417394000,NORMAL
8.0,0,36.434627,127.285986,22.26,1668417399000,NORMAL
8.0,0,36.433575,127.286079,23.68,1668417404000,NORMAL
8.0,0,36.432513,127.286298,24.29,1668417409000,NORMAL
8.0,0,36.431292,127.286773,23.53,1668417415000,NORMAL
7.9,0,36.430328,127.287294,23.84,1668417420000,NORMAL
7.9,0,36.429194,127.288187,24.85,1668417426000,NORMAL
7.9,0,36.428232,127.289179,21.70,1668417432000,NORMAL
7.8,0,36.427558,127.290036,21.15,1668417437000,NORMAL
7.8,0,36.426811,127.290998,19.24,1668417443000,NORMAL
7.9,0,36.426296,127.291728,16.61,1668417448000,NORMAL
8.0,0,36.425794,127.292404,17.35,1668417453000,NORMAL
7.9,0,36.425125,127.293267,18.11,1668417459000,NORMAL
7.8,0,36.424448,127.294201,19.15,1668417465000,NORMAL
7.8,0,36.423869,127.294964,18.59,1668417470000,NORMAL
7.8,0,36.423193,127.295854,18.32,1668417476000,NORMAL
8.0,0,36.422439,127.296745,19.59,1668417482000,NORMAL
8.0,0,36.421790,127.297423,19.00,1668417487000,NORMAL
7.9,0,36.421039,127.298001,19.65,1668417492000,NORMAL
7.8,0,36.420102,127.298542,19.20,1668417498000,NORMAL
7.9,0,36.419270,127.298857,19.82,1668417503000,NORMAL
7.8,0,36.418199,127.299100,20.95,1668417509000,NORMAL
7.8,0,36.417277,127.299234,20.68,1668417514000,NORMAL
7.8,0,36.416369,127.299376,19.94,1668417519000,NORMAL
7.9,0,36.415323,127.299592,19.92,1668417525000,NORMAL
7.9,0,36.414467,127.299811,19.34,1668417530000,NORMAL
7.9,0,36.413629,127.300054,18.36,1668417535000,NORMAL
8.0,0,36.412714,127.300351,17.96,1668417541000,NORMAL
7.9,0,36.411714,127.300742,19.51,1668417547000,NORMAL
8.0,0,36.410760,127.301149,18.90,1668417553000,NORMAL
8.1,0,36.409932,127.301517,20.06,1668417558000,NORMAL
8.0,0,36.408945,127.302078,20.16,1668417564000,NORMAL
7.9,0,36.408130,127.302556,19.82,1668417569000,NORMAL
7.9,0,36.407140,127.303191,21.08,1668417575000,NORMAL
7.9,0,36.406122,127.303930,22.59,1668417581000,NORMAL
7.9,0,36.405021,127.304809,25.36,1668417587000,NORMAL
8.0,0,36.404053,127.305671,26.91,1668417592000,NORMAL
8.0,0,36.402937,127.306669,24.30,1668417598000,NORMAL
8.0,0,36.401944,127.307564,21.92,1668417604000,NORMAL
8.0,0,36.401192,127.308195,19.22,1668417609000,NORMAL
8.0,0,36.400549,127.308778,16.66,1668417614000,NORMAL
8.0,0,36.399834,127.309386,15.36,1668417620000,NORMAL
24.3,0,36.399120,127.309863,14.93,1668417626000,NORMAL
24.3,0,36.398508,127.310223,15.35,1668417631000,NORMAL
24.3,0,36.397810,127.310629,13.19,1668417637000,NORMAL
24.3,0,36.397284,127.310927,12.38,1668417642000,NORMAL
24.3,0,36.396840,127.311181,8.98,1668417647000,NORMAL
