accuracy,id,lat,lng,speed,time,type
24.2,0,36.359826,127.378805,0.00,1668475029000,START
24.3,0,36.359851,127.378822,0.00,1668475035000,STOP
24.3,0,36.359774,127.378709,4.60,1668475269000,NORMAL
24.2,0,36.359440,127.379055,12.37,1668475275000,NORMAL
24.2,0,36.360688,127.379607,11.03,1668475281000,NORMAL
24.3,0,36.361165,127.379578,8.92,1668475286000,NORMAL
24.3,0,36.361539,127.379576,8.21,1668475291000,NORMAL
24.3,0,36.361905,127.379569,5.72,1668475297000,NORMAL
24.3,0,36.362008,127.379574,0.00,1668475303000,STOP
24.3,0,36.362055,127.379574,1.17,1668475309000,NORMAL
24.3,0,36.362064,127.379576,0.77,1668475315000,STOP
24.3,0,36.362302,127.379596,8.06,1668475320000,NORMAL
24.3,0,36.362780,127.379602,12.38,1668475325000,NORMAL
24.3,0,36.363592,127.379601,15.52,1668475331000,NORMAL
24.3,0,36.364512,127.379617,17.02,1668475337000,NORMAL
24.3,0,36.365359,127.379632,15.57,1668475343000,NORMAL
24.3,0,36.366123,127.379630,13.73,1668475349000,NORMAL
24.3,0,36.366656,127.379632,10.55,1668475354000,NORMAL
24.3,0,36.366756,127.379617,1.90,1668475359000,NORMAL
24.3,0,36.366792,127.379620,0.52,1668475364000,STOP
24.3,0,36.366911,127.379594,5.08,1668475375000,NORMAL
24.3,0,36.367444,127.379620,10.09,1668475381000,NORMAL
24.3,0,36.368159,127.379633,13.08,1668475387000,NORMAL
24.3,0,36.368786,127.379640,14.48,1668475392000,NORMAL
24.3,0,36.369410,127.379650,12.07,1668475397000,NORMAL
24.3,0,36.370011,127.379672,10.37,1668475403000,NORMAL
24.3,0,36.370577,127.379684,12.44,1668475408000,NORMAL
24.3,0,36.370920,127.379697,5.83,1668475413000,NORMAL
24.3,0,36.371005,127.380379,12.06,1668475419000,NORMAL
24.3,0,36.371024,127.381251,17.38,1668475424000,NORMAL
24.3,0,36.371014,127.382261,18.10,1668475429000,NORMAL
24.3,0,36.371001,127.383486,18.16,1668475435000,NORMAL
24.3,0,36.370969,127.384530,19.40,1668475440000,NORMAL
24.3,0,36.370916,127.385628,20.71,1668475445000,NORMAL
24.3,0,36.370803,127.387143,23.84,1668475451000,NORMAL
24.3,0,36.370790,127.388534,25.51,1668475456000,NORMAL
24.3,0,36.370869,127.390294,26.05,1668475462000,NORMAL
24.3,0,36.371105,127.391982,25.40,1668475468000,NORMAL
24.3,0,36.371310,127.393366,25.57,1668475473000,NORMAL
24.3,0,36.371570,127.394779,26.16,1668475478000,NORMAL
24.3,0,36.371978,127.396471,26.58,1668475484000,NORMAL
24.3,0,36.372386,127.397840,25.95,1668475489000,NORMAL
24.3,0,36.372978,127.399438,26.56,1668475495000,NORMAL
24.3,0,36.373485,127.400776,26.03,1668475500000,NORMAL
24.3,0,36.373914,127.402013,22.41,1668475505000,NORMAL
24.3,0,36.374157,127.403106,13.60,1668475511000,NORMAL
24.3,0,36.374341,127.403679,9.61,1668475516000,NORMAL
24.3,0,36.374501,127.404219,11.95,1668475521000,NORMAL
24.3,0,36.374876,127.405179,17.61,1668475527000,NORMAL
24.3,0,36.375171,127.406202,20.91,1668475532000,NORMAL
24.3,0,36.375583,127.407551,22.23,1668475538000,NORMAL
24.3,0,36.376207,127.408964,25.33,1668475544000,NORMAL
24.3,0,36.377013,127.410359,25.64,1668475550000,NORMAL
24.3,0,36.377821,127.411335,25.39,1668475555000,NORMAL
24.3,0,36.379102,127.411967,26.20,1668475561000,NORMAL
24.3,0,36.380541,127.412231,26.52,1668475567000,NORMAL
24.3,0,36.381768,127.412431,28.38,1668475572000,NORMAL
24.3,0,36.383352,127.412717,29.71,1668475578000,NORMAL
24.3,0,36.384869,127.412814,26.56,1668475584000,NORMAL
24.3,0,36.385995,127.412850,24.21,1668475589000,NORMAL
24.3,0,36.387302,127.412890,24.24,1668475595000,NORMAL
24.3,0,36.388387,127.412927,23.93,1668475600000,NORMAL
24.3,0,36.389491,127.412959,24.53,1668475605000,NORMAL
24.3,0,36.390797,127.412998,23.85,1668475611000,NORMAL
24.3,0,36.391972,127.413075,19.99,1668475617000,NORMAL
24.3,0,36.392987,127.413206,17.24,1668475623000,NORMAL
24.3,0,36.393711,127.413312,15.62,1668475628000,NORMAL
24.3,0,36.394603,127.413443,17.46,1668475634000,NORMAL
24.3,0,36.395418,127.413534,18.70,1668475639000,NORMAL
24.3,0,36.396247,127.413574,17.85,1668475644000,NORMAL
24.3,0,36.397236,127.413634,18.58,1668475650000,NORMAL
24.3,0,36.398122,127.413875,15.68,1668475656000,NORMAL
24.3,0,36.398908,127.414102,15.34,1668475662000,NORMAL
24.3,0,36.399636,127.414321,17.87,1668475667000,NORMAL
8.1,0,36.400650,127.414624,19.80,1668475673000,NORMAL
8.0,0,36.401495,127.414918,19.29,1668475678000,NORMAL
8.0,0,36.402319,127.415226,18.38,1668475683000,NORMAL
8.0,0,36.403139,127.415566,19.17,1668475688000,NORMAL
8.0,0,36.403975,127.415919,19.89,1668475693000,NORMAL
8.0,0,36.404982,127.416333,19.47,1668475699000,NORMAL
7.9,0,36.405973,127.416953,21.69,1668475705000,NORMAL
8.0,0,36.406885,127.417557,23.73,1668475710000,NORMAL
8.1,0,36.407846,127.418179,23.62,1668475715000,NORMAL
8.1,0,36.408794,127.418753,23.63,1668475720000,NORMAL
8.1,0,36.409733,127.419286,22.61,1668475725000,NORMAL
8.1,0,36.410895,127.419951,24.03,1668475731000,NORMAL
8.1,0,36.411917,127.420542,26.12,1668475736000,NORMAL
8.1,0,36.413296,127.421184,26.98,1668475742000,NORMAL
8.1,0,36.414627,127.421394,23.69,1668475748000,NORMAL
8.0,0,36.415808,127.421258,21.07,1668475754000,NORMAL
8.0,0,36.416957,127.420878,21.96,1668475760000,NORMAL
8.1,0,36.417863,127.420275,22.62,1668475765000,NORMAL
8.1,0,36.418855,127.419436,22.09,1668475771000,NORMAL
8.1,0,36.419870,127.418501,25.16,1668475777000,NORMAL
8.1,0,36.420823,127.417591,27.69,1668475782000,NORMAL
8.1,0,36.422035,127.416427,28.81,1668475788000,NORMAL
8.1,0,36.423021,127.415285,21.82,1668475794000,NORMAL
8.0,0,36.423809,127.414326,20.74,1668475800000,NORMAL
8.0,0,36.424638,127.413388,21.26,1668475806000,NORMAL
8.0,0,36.425370,127.412527,23.13,1668475811000,NORMAL
8.1,0,36.426230,127.411325,24.30,1668475817000,NORMAL
8.1,0,36.426971,127.410022,24.08,1668475823000,NORMAL
8.0,0,36.427614,127.408892,24.99,1668475828000,NORMAL
8.1,0,36.428476,127.407617,24.97,1668475834000,NORMAL
8.1,0,36.429278,127.406634,25.33,1668475839000,NORMAL
8.2,0,36.430344,127.405474,27.41,1668475845000,NORMAL
8.2,0,36.431430,127.404305,25.97,1668475851000,NORMAL
8.2,0,36.432280,127.403412,24.26,1668475856000,NORMAL
8.1,0,36.433068,127.402545,22.75,1668475861000,NORMAL
8.1,0,36.433957,127.401573,21.22,1668475867000,NORMAL
8.1,0,36.434645,127.400774,20.99,1668475872000,NORMAL
8.1,0,36.435428,127.399740,21.49,1668475878000,NORMAL
8.1,0,36.436086,127.398831,21.52,1668475883000,NORMAL
8.1,0,36.436736,127.397939,21.39,1668475888000,NORMAL
8.1,0,36.437360,127.397090,19.71,1668475893000,NORMAL
8.1,0,36.437897,127.396270,18.91,1668475898000,NORMAL
8.1,0,36.438352,127.395274,20.84,1668475903000,NORMAL
8.1,0,36.439043,127.394138,21.91,1668475909000,NORMAL
8.1,0,36.439915,127.393066,23.74,1668475915000,NORMAL
8.1,0,36.440987,127.392094,25.42,1668475921000,NORMAL
8.1,0,36.441906,127.391205,26.22,1668475926000,NORMAL
8.1,0,36.442840,127.389928,24.79,1668475932000,NORMAL
8.1,0,36.443482,127.388622,21.93,1668475938000,NORMAL
8.1,0,36.443849,127.387208,22.14,1668475944000,NORMAL
8.2,0,36.443951,127.385722,23.18,1668475950000,NORMAL
8.2,0,36.443995,127.384348,25.19,1668475955000,NORMAL
11.3,0,36.444043,127.382670,23.89,1668475961000,NORMAL
8.2,0,36.444075,127.381375,22.90,1668475966000,NORMAL
8.1,0,36.444154,127.379888,22.32,1668475972000,NORMAL
8.0,0,36.444416,127.378409,23.24,1668475978000,NORMAL
9.0,0,36.444730,127.377158,23.59,1668475983000,NORMAL
13.5,0,36.445205,127.375846,0.00,1668475988000,STOP
10.2,0,36.452012,127.370094,22.70,1668476032000,NORMAL
8.1,0,36.453210,127.370053,22.10,1668476038000,NORMAL
7.9,0,36.454174,127.370132,20.50,1668476043000,NORMAL
8.0,0,36.455089,127.370275,20.80,1668476048000,NORMAL
8.0,0,36.456141,127.370446,19.19,1668476054000,NORMAL
8.0,0,36.457180,127.370611,19.86,1668476060000,NORMAL
7.8,0,36.458303,127.370780,20.76,1668476066000,NORMAL
10.5,0,36.459225,127.370900,20.66,1668476071000,NORMAL
14.1,0,36.460244,127.370927,0.00,1668476076000,STOP
8.2,0,36.467310,127.364432,22.12,1668476125000,NORMAL
8.1,0,36.467687,127.363020,21.57,1668476131000,NORMAL
8.1,0,36.468033,127.361877,21.37,1668476136000,NORMAL
8.1,0,36.468452,127.360415,25.07,1668476142000,NORMAL
8.1,0,36.469120,127.358739,29.09,1668476148000,NORMAL
8.0,0,36.469769,127.357330,27.96,1668476153000,NORMAL
8.0,0,36.470369,127.356101,24.86,1668476158000,NORMAL
7.9,0,36.470956,127.354741,21.93,1668476164000,NORMAL
8.0,0,36.471494,127.353325,24.70,1668476170000,NORMAL
8.0,0,36.472093,127.351615,29.78,1668476176000,NORMAL
8.1,0,36.472571,127.349980,31.74,1668476181000,NORMAL
8.1,0,36.473001,127.348264,32.33,1668476186000,NORMAL
8.1,0,36.473429,127.346148,32.86,1668476192000,NORMAL
8.1,0,36.473753,127.343941,33.87,1668476198000,NORMAL
8.1,0,36.473967,127.341706,32.43,1668476204000,NORMAL
8.1,0,36.474105,127.339714,28.00,1668476210000,NORMAL
8.1,0,36.474216,127.338238,25.95,1668476215000,NORMAL
8.1,0,36.474320,127.336852,24.27,1668476220000,NORMAL
8.1,0,36.474424,127.335523,24.01,1668476225000,NORMAL
8.1,0,36.474560,127.333869,25.45,1668476231000,NORMAL
8.1,0,36.474652,127.332501,23.46,1668476236000,NORMAL
8.1,0,36.474756,127.331115,20.17,1668476242000,NORMAL
8.1,0,36.474883,127.329784,20.52,1668476248000,NORMAL
8.1,0,36.475080,127.328372,22.78,1668476254000,NORMAL
8.1,0,36.475362,127.326669,27.91,1668476260000,NORMAL
8.1,0,36.475797,127.324861,28.01,1668476266000,NORMAL
8.1,0,36.476209,127.323370,28.19,1668476271000,NORMAL
8.1,0,36.476663,127.321912,28.03,1668476276000,NORMAL
8.1,0,36.477150,127.320122,28.08,1668476282000,NORMAL
8.1,0,36.477464,127.318313,27.01,1668476288000,NORMAL
8.1,0,36.477597,127.316578,25.58,1668476294000,NORMAL
8.1,0,36.477600,127.315185,24.04,1668476299000,NORMAL
8.0,0,36.477596,127.313715,21.32,1668476305000,NORMAL
8.0,0,36.477632,127.312608,18.30,1668476310000,NORMAL
8.0,0,36.477842,127.311448,17.80,1668476316000,NORMAL
8.0,0,36.478259,127.310385,16.97,1668476322000,NORMAL
8.0,0,36.478734,127.309671,16.19,1668476327000,NORMAL
8.0,0,36.479209,127.309088,13.86,1668476332000,NORMAL
8.1,0,36.479581,127.308719,8.17,1668476337000,NORMAL
8.1,0,36.479759,127.308580,2.47,1668476342000,NORMAL
8.1,0,36.479777,127.308573,0.00,1668476348000,STOP
8.1,0,36.480011,127.308379,7.14,1668476402000,NORMAL
8.1,0,36.480420,127.308131,11.20,1668476407000,NORMAL
8.1,0,36.480994,127.307920,11.07,1668476413000,NORMAL
8.1,0,36.481478,127.307745,11.44,1668476418000,NORMAL
8.0,0,36.482080,127.307547,11.79,1668476424000,NORMAL
8.0,0,36.482663,127.307292,14.66,1668476429000,NORMAL
