accuracy,id,lat,lng,speed,time,type
8.1,0,36.503710,127.241041,13.47,1668486628000,START
8.2,0,36.503006,127.240943,12.15,1668486634000,NORMAL
8.2,0,36.502686,127.240890,4.37,1668486639000,NORMAL
8.2,0,36.502540,127.240864,3.80,1668486645000,NORMAL
8.1,0,36.502243,127.240813,7.34,1668486650000,NORMAL
8.1,0,36.501848,127.240721,9.43,1668486655000,NORMAL
8.1,0,36.501300,127.240619,10.28,1668486661000,NORMAL
8.1,0,36.500847,127.240534,6.57,1668486667000,NORMAL
8.1,0,36.500561,127.240481,4.59,1668486673000,NORMAL
8.1,0,36.500406,127.240452,1.92,1668486679000,NORMAL
8.1,0,36.500204,127.240414,6.46,1668486684000,NORMAL
8.1,0,36.499843,127.240359,8.79,1668486689000,NORMAL
8.1,0,36.499436,127.240323,9.99,1668486694000,NORMAL
8.1,0,36.498801,127.240084,12.59,1668486700000,NORMAL
8.1,0,36.498134,127.239929,14.79,1668486705000,NORMAL
8.2,0,36.497385,127.239784,15.62,1668486710000,NORMAL
8.2,0,36.496792,127.239736,12.22,1668486715000,NORMAL
8.2,0,36.496133,127.239743,13.15,1668486721000,NORMAL
8.2,0,36.495330,127.239734,16.28,1668486727000,NORMAL
8.2,0,36.494403,127.239891,18.21,1668486733000,NORMAL
8.1,0,36.493409,127.240231,19.35,1668486739000,NORMAL
8.1,0,36.492477,127.240663,17.52,1668486745000,NORMAL
8.1,0,36.491777,127.241096,16.75,1668486750000,NORMAL
8.1,0,36.491043,127.241748,16.90,1668486756000,NORMAL
8.2,0,36.490437,127.242309,16.09,1668486761000,NORMAL
8.1,0,36.489731,127.242919,15.86,1668486767000,NORMAL
13.6,0,36.477855,127.246148,19.48,1668486848000,NORMAL
8.1,0,36.477029,127.246408,16.66,1668486854000,NORMAL
8.2,0,36.476183,127.246786,16.54,1668486860000,NORMAL
8.2,0,36.475498,127.247193,16.56,1668486865000,NORMAL
8.2,0,36.474888,127.247684,16.68,1668486870000,NORMAL
8.2,0,36.474100,127.248474,20.12,1668486876000,NORMAL
8.1,0,36.473437,127.249257,20.38,1668486881000,NORMAL
8.1,0,36.472735,127.250235,18.63,1668486887000,NORMAL
8.1,0,36.472221,127.251271,18.55,1668486893000,NORMAL
8.1,0,36.471801,127.252237,20.17,1668486898000,NORMAL
8.1,0,36.471419,127.253292,20.23,1668486903000,NORMAL
8.1,0,36.470998,127.254448,18.63,1668486909000,NORMAL
8.1,0,36.470583,127.255610,18.85,1668486915000,NORMAL
8.1,0,36.470155,127.256773,19.68,1668486921000,NORMAL
8.1,0,36.469694,127.258054,21.83,1668486927000,NORMAL
8.1,0,36.469213,127.259365,21.41,1668486933000,NORMAL
8.1,0,36.468724,127.260709,22.58,1668486939000,NORMAL
