accuracy,id,lat,lng,speed,time,type
14.744,47097,36.4714635,127.2719675,3.821483,1668780239000,START
12.594,47098,36.4713593,127.2720025,5.5145555,1668780241000,NORMAL
4.24,47099,36.4712357,127.2719904,6.2275453,1668780243000,NORMAL
3.868,47100,36.4711402,127.2719477,4.4218493,1668780245000,NORMAL
8.346,47102,36.4710376,127.271923,3.7678988,1668780246721,NORMAL
3.845,47101,36.4710662,127.2719296,3.7728562,1668780247000,NORMAL
7.234,47103,36.471032,127.2719137,1.6795666,1668780249000,NORMAL
7.234,47104,36.4710283,127.2719099,1.5437373,1668780251000,NORMAL
7.207,47105,36.4710332,127.2719091,0.12355196,1668780253000,NORMAL
9.983,47106,36.4710333,127.2719083,0.06372172,1668780253116,NORMAL
8.462,47107,36.4710376,127.2719087,0.22761992,1668780255000,NORMAL
8.462,47108,36.4710387,127.2719084,0.102838315,1668780257000,NORMAL
5.295,47110,36.4710408,127.2719083,0.08579913,1668780258131,NORMAL
8.48,47109,36.4710406,127.2719083,0.102669805,1668780259000,NORMAL
5.295,47111,36.4710423,127.2719098,0.11470046,1668780261000,NORMAL
5.295,47112,36.4710437,127.2719099,0.08482641,1668780263000,NORMAL
8.631,47113,36.4710439,127.2719101,0.019276632,1668780265000,NORMAL
8.631,47114,36.4710438,127.2719101,0.003947099,1668780267000,NORMAL
5.374,47115,36.4710438,127.27191,0.0028747919,1668780268159,NORMAL
5.374,47116,36.4710439,127.2719102,0.008138161,1668780271000,NORMAL
5.374,47117,36.4710438,127.2719102,0.0034951875,1668780273000,NORMAL
8.701,47118,36.4710437,127.2719104,0.009981339,1668780275000,NORMAL
8.701,47119,36.4710436,127.2719105,0.008206504,1668780277000,NORMAL
5.581,47120,36.4710435,127.2719105,0.0046289484,1668780278214,NORMAL
5.581,47121,36.4710435,127.2719107,0.007681305,1668780281000,NORMAL
5.581,47122,36.4710434,127.2719107,0.0047856946,1668780283000,NORMAL
10.472,47123,36.4710434,127.2719107,0.0033581888,1668780283201,NORMAL
8.791,47124,36.4710434,127.2719109,0.008114339,1668780285000,NORMAL
8.791,47125,36.4710434,127.2719109,0.0025148806,1668780287000,NORMAL
5.617,47127,36.4710434,127.2719109,1.48482E-4,1668780288228,NORMAL
8.791,47126,36.4710434,127.2719109,2.8385487E-4,1668780289000,NORMAL
5.617,47128,36.4710434,127.2719111,0.0075277993,1668780291000,NORMAL
5.617,47129,36.4710434,127.2719111,0.0022656799,1668780293000,NORMAL
8.891,47130,36.4710434,127.2719112,0.0040578623,1668780295000,NORMAL
8.891,47131,36.4710434,127.2719113,0.004502531,1668780297000,NORMAL
5.805,47132,36.4710434,127.2719112,0.0021887175,1668780298283,NORMAL
5.805,47133,36.4710435,127.2719114,0.008451522,1668780301000,NORMAL
5.805,47134,36.4710435,127.2719114,0.002662581,1668780303000,NORMAL
9.031,47135,36.4710434,127.2719114,0.0049271453,1668780305000,NORMAL
9.031,47136,36.4710434,127.2719113,0.0036934277,1668780307000,NORMAL
5.78,47137,36.4710434,127.2719112,0.003560854,1668780308276,NORMAL
5.78,47138,36.4710435,127.2719114,0.008367911,1668780311000,NORMAL
5.78,47139,36.4710435,127.2719113,0.0017973537,1668780313000,NORMAL
10.922,47140,36.4710435,127.2719113,0.0013051913,1668780313315,NORMAL
9.166,47141,36.4710436,127.2719115,0.008846682,1668780315000,NORMAL
9.166,47142,36.4710436,127.2719115,0.0027975624,1668780317000,NORMAL
5.962,47144,36.4710435,127.2719114,0.00439298,1668780318327,NORMAL
9.166,47143,36.4710435,127.2719114,0.005216743,1668780319000,NORMAL
5.962,47145,36.4710437,127.2719116,0.011090495,1668780321000,NORMAL
5.962,47146,36.4710437,127.2719115,0.0029989749,1668780323000,NORMAL
9.264,47147,36.4710437,127.2719117,0.0072575,1668780325000,NORMAL
9.264,47148,36.4710437,127.2719117,0.0023103752,1668780327000,NORMAL
9.901,47149,36.4710436,127.2719117,0.0035516117,1668780328350,NORMAL
6.009,47150,36.4710435,127.2719119,0.009506124,1668780331000,NORMAL
6.009,47151,36.4710435,127.2719119,0.002856752,1668780333000,NORMAL
9.285,47152,36.4710436,127.271912,0.006268658,1668780335000,NORMAL
9.313,47153,36.4710437,127.271912,0.0058098137,1668780337000,NORMAL
6.177,47154,36.4710437,127.271912,8.8051305E-4,1668780338397,NORMAL
